a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	m_New_word	i_Verb1	j_Verb2	k_Element_changed	l_Old_word	n_Violation_Type	p_number	q_condition
embedding_mental_SR	le figlie dicono che le sorelle accoglie gli uomini	feminine	plural	feminine	plural			137	accoglie	dice	accoglie	V2	accolgono	num_violation	51	PP
embedding_mental_SR	le amiche dicono che i ragazzi accoglie la sorella	feminine	plural	masculine	plural			521	accoglie	dice	accoglie	V2	accolgono	num_violation	52	PP
embedding_mental_SR	le figlie dicono che i ragazzi accoglie il padre	feminine	plural	masculine	plural			640	accoglie	dice	accoglie	V2	accolgono	num_violation	53	PP
embedding_mental_SR	le ragazze dicono che i figli accoglie i fratelli	feminine	plural	masculine	plural			682	accoglie	dice	accoglie	V2	accolgono	num_violation	54	PP
embedding_mental_SR	gli amici dicono che le ragazze accoglie la contadina	masculine	plural	feminine	plural			2013	accoglie	dice	accoglie	V2	accolgono	num_violation	55	PP
embedding_mental_SR	gli amici dicono che le studentesse accoglie il figlio	masculine	plural	feminine	plural			2016	accoglie	dice	accoglie	V2	accolgono	num_violation	56	PP
embedding_mental_SR	gli attori dicono che le bambine accoglie le contadine	masculine	plural	feminine	plural			2029	accoglie	dice	accoglie	V2	accolgono	num_violation	57	PP
embedding_mental_SR	gli attori dicono che le ragazze accoglie i contadini	masculine	plural	feminine	plural			2038	accoglie	dice	accoglie	V2	accolgono	num_violation	58	PP
embedding_mental_SR	gli uomini dicono che le bambine accoglie i padri	masculine	plural	feminine	plural			2087	accoglie	dice	accoglie	V2	accolgono	num_violation	59	PP
embedding_mental_SR	i bambini dicono che le madri accoglie lo studente	masculine	plural	feminine	plural			2118	accoglie	dice	accoglie	V2	accolgono	num_violation	60	PP
embedding_mental_SR	i contadini dicono che le attrici accoglie i bambini	masculine	plural	feminine	plural			2145	accoglie	dice	accoglie	V2	accolgono	num_violation	61	PP
embedding_mental_SR	i contadini dicono che le madri accoglie il fratello	masculine	plural	feminine	plural			2152	accoglie	dice	accoglie	V2	accolgono	num_violation	62	PP
embedding_mental_SR	i figli dicono che le studentesse accoglie l' uomo	masculine	plural	feminine	plural			2178	accoglie	dice	accoglie	V2	accolgono	num_violation	63	PP
embedding_mental_SR	i fratelli dicono che le bambine accoglie i contadini	masculine	plural	feminine	plural			2192	accoglie	dice	accoglie	V2	accolgono	num_violation	64	PP
embedding_mental_SR	i padri dicono che le attrici accoglie il bambino	masculine	plural	feminine	plural			2210	accoglie	dice	accoglie	V2	accolgono	num_violation	65	PP
embedding_mental_SR	i ragazzi dicono che le amiche accoglie i padri	masculine	plural	feminine	plural			2238	accoglie	dice	accoglie	V2	accolgono	num_violation	66	PP
embedding_mental_SR	i fratelli dicono che i figli accoglie gli attori	masculine	plural	masculine	plural			2681	accoglie	dice	accoglie	V2	accolgono	num_violation	67	PP
embedding_mental_SR	i ragazzi dicono che i contadini accoglie le studentesse	masculine	plural	masculine	plural			2735	accoglie	dice	accoglie	V2	accolgono	num_violation	68	PP
embedding_mental_SR	le amiche dichiarano che le ragazze accoglie le sorelle	feminine	plural	feminine	plural			7	accoglie	dichiara	accoglie	V2	accolgono	num_violation	69	PP
embedding_mental_SR	le donne dichiarano che le contadine accoglie le bambine	feminine	plural	feminine	plural			94	accoglie	dichiara	accoglie	V2	accolgono	num_violation	70	PP
embedding_mental_SR	le madri dichiarano che le donne accoglie la ragazza	feminine	plural	feminine	plural			156	accoglie	dichiara	accoglie	V2	accolgono	num_violation	71	PP
embedding_mental_SR	le madri dichiarano che le figlie accoglie i bambini	feminine	plural	feminine	plural			158	accoglie	dichiara	accoglie	V2	accolgono	num_violation	72	PP
embedding_mental_SR	le ragazze dichiarano che le attrici accoglie l' uomo	feminine	plural	feminine	plural			184	accoglie	dichiara	accoglie	V2	accolgono	num_violation	73	PP
embedding_mental_SR	le ragazze dichiarano che le attrici accoglie le bambine	feminine	plural	feminine	plural			185	accoglie	dichiara	accoglie	V2	accolgono	num_violation	74	PP
embedding_mental_SR	le sorelle dichiarano che le contadine accoglie il ragazzo	feminine	plural	feminine	plural			212	accoglie	dichiara	accoglie	V2	accolgono	num_violation	75	PP
embedding_mental_SR	le studentesse dichiarano che le figlie accoglie l' attrice	feminine	plural	feminine	plural			230	accoglie	dichiara	accoglie	V2	accolgono	num_violation	76	PP
embedding_mental_SR	le studentesse dichiarano che le sorelle accoglie le contadine	feminine	plural	feminine	plural			232	accoglie	dichiara	accoglie	V2	accolgono	num_violation	77	PP
embedding_mental_SR	le amiche dichiarano che i padri accoglie il ragazzo	feminine	plural	masculine	plural			510	accoglie	dichiara	accoglie	V2	accolgono	num_violation	78	PP
embedding_mental_SR	le attrici dichiarano che i ragazzi accoglie le figlie	feminine	plural	masculine	plural			538	accoglie	dichiara	accoglie	V2	accolgono	num_violation	79	PP
embedding_mental_SR	le attrici dichiarano che i ragazzi accoglie i fratelli	feminine	plural	masculine	plural			539	accoglie	dichiara	accoglie	V2	accolgono	num_violation	80	PP
embedding_mental_SR	le bambine dichiarano che gli studenti accoglie le donne	feminine	plural	masculine	plural			559	accoglie	dichiara	accoglie	V2	accolgono	num_violation	81	PP
embedding_mental_SR	le figlie dichiarano che gli attori accoglie lo studente	feminine	plural	masculine	plural			632	accoglie	dichiara	accoglie	V2	accolgono	num_violation	82	PP
embedding_mental_SR	le sorelle dichiarano che i figli accoglie l' amica	feminine	plural	masculine	plural			706	accoglie	dichiara	accoglie	V2	accolgono	num_violation	83	PP
embedding_mental_SR	gli attori dichiarano che le contadine accoglie i ragazzi	masculine	plural	feminine	plural			2024	accoglie	dichiara	accoglie	V2	accolgono	num_violation	84	PP
embedding_mental_SR	gli uomini dichiarano che le bambine accoglie il contadino	masculine	plural	feminine	plural			2076	accoglie	dichiara	accoglie	V2	accolgono	num_violation	85	PP
embedding_mental_SR	i figli dichiarano che le madri accoglie lo studente	masculine	plural	feminine	plural			2172	accoglie	dichiara	accoglie	V2	accolgono	num_violation	86	PP
embedding_mental_SR	i fratelli dichiarano che le bambine accoglie la donna	masculine	plural	feminine	plural			2188	accoglie	dichiara	accoglie	V2	accolgono	num_violation	87	PP
embedding_mental_SR	gli attori dichiarano che gli amici accoglie le studentesse	masculine	plural	masculine	plural			2521	accoglie	dichiara	accoglie	V2	accolgono	num_violation	88	PP
embedding_mental_SR	gli attori dichiarano che i contadini accoglie l' uomo	masculine	plural	masculine	plural			2528	accoglie	dichiara	accoglie	V2	accolgono	num_violation	89	PP
embedding_mental_SR	gli attori dichiarano che i figli accoglie la sorella	masculine	plural	masculine	plural			2529	accoglie	dichiara	accoglie	V2	accolgono	num_violation	90	PP
embedding_mental_SR	gli studenti dichiarano che i ragazzi accoglie la figlia	masculine	plural	masculine	plural			2561	accoglie	dichiara	accoglie	V2	accolgono	num_violation	91	PP
embedding_mental_SR	i contadini dichiarano che gli studenti accoglie gli amici	masculine	plural	masculine	plural			2618	accoglie	dichiara	accoglie	V2	accolgono	num_violation	92	PP
embedding_mental_SR	i fratelli dichiarano che i bambini accoglie il padre	masculine	plural	masculine	plural			2670	accoglie	dichiara	accoglie	V2	accolgono	num_violation	93	PP
embedding_mental_SR	i fratelli dichiarano che i ragazzi accoglie le attrici	masculine	plural	masculine	plural			2675	accoglie	dichiara	accoglie	V2	accolgono	num_violation	94	PP
embedding_mental_SR	le donne ricordano che le studentesse accoglie l' amico	feminine	plural	feminine	plural			120	accoglie	ricorda	accoglie	V2	accolgono	num_violation	95	PP
embedding_mental_SR	le ragazze ricordano che le contadine accoglie il bambino	feminine	plural	feminine	plural			206	accoglie	ricorda	accoglie	V2	accolgono	num_violation	96	PP
embedding_mental_SR	le figlie ricordano che gli studenti accoglie il contadino	feminine	plural	masculine	plural			645	accoglie	ricorda	accoglie	V2	accolgono	num_violation	97	PP
embedding_mental_SR	le figlie ricordano che i bambini accoglie le attrici	feminine	plural	masculine	plural			648	accoglie	ricorda	accoglie	V2	accolgono	num_violation	98	PP
embedding_mental_SR	le ragazze ricordano che i fratelli accoglie l' amica	feminine	plural	masculine	plural			694	accoglie	ricorda	accoglie	V2	accolgono	num_violation	99	PP
embedding_mental_SR	le studentesse ricordano che i figli accoglie la sorella	feminine	plural	masculine	plural			744	accoglie	ricorda	accoglie	V2	accolgono	num_violation	100	PP
embedding_mental_SR	le studentesse ricordano che i figli accoglie l' attore	feminine	plural	masculine	plural			745	accoglie	ricorda	accoglie	V2	accolgono	num_violation	101	PP
embedding_mental_SR	le studentesse ricordano che i figli accoglie l' uomo	feminine	plural	masculine	plural			746	accoglie	ricorda	accoglie	V2	accolgono	num_violation	102	PP
embedding_mental_SR	i bambini ricordano che le madri accoglie il contadino	masculine	plural	feminine	plural			2129	accoglie	ricorda	accoglie	V2	accolgono	num_violation	103	PP
embedding_mental_SR	i figli ricordano che le ragazze accoglie l' amica	masculine	plural	feminine	plural			2183	accoglie	ricorda	accoglie	V2	accolgono	num_violation	104	PP
embedding_mental_SR	i ragazzi ricordano che le bambine accoglie le studentesse	masculine	plural	feminine	plural			2248	accoglie	ricorda	accoglie	V2	accolgono	num_violation	105	PP
embedding_mental_SR	gli amici ricordano che i figli accoglie i contadini	masculine	plural	masculine	plural			2517	accoglie	ricorda	accoglie	V2	accolgono	num_violation	106	PP
embedding_mental_SR	gli attori ricordano che gli uomini accoglie la sorella	masculine	plural	masculine	plural			2544	accoglie	ricorda	accoglie	V2	accolgono	num_violation	107	PP
embedding_mental_SR	gli attori ricordano che i contadini accoglie l' uomo	masculine	plural	masculine	plural			2545	accoglie	ricorda	accoglie	V2	accolgono	num_violation	108	PP
embedding_mental_SR	gli attori ricordano che i padri accoglie i ragazzi	masculine	plural	masculine	plural			2549	accoglie	ricorda	accoglie	V2	accolgono	num_violation	109	PP
embedding_mental_SR	gli studenti ricordano che i figli accoglie le bambine	masculine	plural	masculine	plural			2567	accoglie	ricorda	accoglie	V2	accolgono	num_violation	110	PP
embedding_mental_SR	gli uomini ricordano che i contadini accoglie l' attore	masculine	plural	masculine	plural			2589	accoglie	ricorda	accoglie	V2	accolgono	num_violation	111	PP
embedding_mental_SR	l' amica dice che la ragazza accolgono i bambini	feminine	singular	feminine	singular			1257	accolgono	dicono	accolgono	V2	accoglie	num_violation	112	SS
embedding_mental_SR	l' attrice dice che la bambina accolgono l' amico	feminine	singular	feminine	singular			1283	accolgono	dicono	accolgono	V2	accoglie	num_violation	113	SS
embedding_mental_SR	l' attrice dice che la contadina accolgono i padri	feminine	singular	feminine	singular			1285	accolgono	dicono	accolgono	V2	accoglie	num_violation	114	SS
embedding_mental_SR	l' attrice dice che la ragazza accolgono la figlia	feminine	singular	feminine	singular			1290	accolgono	dicono	accolgono	V2	accoglie	num_violation	115	SS
embedding_mental_SR	la madre dice che la studentessa accolgono le ragazze	feminine	singular	feminine	singular			1407	accolgono	dicono	accolgono	V2	accoglie	num_violation	116	SS
embedding_mental_SR	la ragazza dice che la studentessa accolgono le attrici	feminine	singular	feminine	singular			1435	accolgono	dicono	accolgono	V2	accoglie	num_violation	117	SS
embedding_mental_SR	la sorella dice che l' amica accolgono il figlio	feminine	singular	feminine	singular			1451	accolgono	dicono	accolgono	V2	accoglie	num_violation	118	SS
embedding_mental_SR	la sorella dice che la madre accolgono l' amico	feminine	singular	feminine	singular			1457	accolgono	dicono	accolgono	V2	accoglie	num_violation	119	SS
embedding_mental_SR	la bambina dice che l' amico accolgono le donne	feminine	singular	masculine	singular			1810	accolgono	dicono	accolgono	V2	accoglie	num_violation	120	SS
embedding_mental_SR	la donna dice che lo studente accolgono gli amici	feminine	singular	masculine	singular			1858	accolgono	dicono	accolgono	V2	accoglie	num_violation	121	SS
embedding_mental_SR	la figlia dice che il contadino accolgono l' attore	feminine	singular	masculine	singular			1875	accolgono	dicono	accolgono	V2	accoglie	num_violation	122	SS
embedding_mental_SR	la madre dice che il figlio accolgono i bambini	feminine	singular	masculine	singular			1905	accolgono	dicono	accolgono	V2	accoglie	num_violation	123	SS
embedding_mental_SR	la madre dice che l' uomo accolgono le ragazze	feminine	singular	masculine	singular			1910	accolgono	dicono	accolgono	V2	accoglie	num_violation	124	SS
embedding_mental_SR	la ragazza dice che l' attore accolgono la madre	feminine	singular	masculine	singular			1933	accolgono	dicono	accolgono	V2	accoglie	num_violation	125	SS
embedding_mental_SR	la sorella dice che l' amico accolgono la madre	feminine	singular	masculine	singular			1954	accolgono	dicono	accolgono	V2	accoglie	num_violation	126	SS
embedding_mental_SR	il bambino dice che la madre accolgono gli uomini	masculine	singular	feminine	singular			3254	accolgono	dicono	accolgono	V2	accoglie	num_violation	127	SS
embedding_mental_SR	il fratello dice che l' amica accolgono il padre	masculine	singular	feminine	singular			3307	accolgono	dicono	accolgono	V2	accoglie	num_violation	128	SS
embedding_mental_SR	il fratello dice che la ragazza accolgono l' uomo	masculine	singular	feminine	singular			3318	accolgono	dicono	accolgono	V2	accoglie	num_violation	129	SS
embedding_mental_SR	il padre dice che la sorella accolgono il bambino	masculine	singular	feminine	singular			3344	accolgono	dicono	accolgono	V2	accoglie	num_violation	130	SS
embedding_mental_SR	l' attore dice che la contadina accolgono le ragazze	masculine	singular	feminine	singular			3430	accolgono	dicono	accolgono	V2	accoglie	num_violation	131	SS
embedding_mental_SR	lo studente dice che la sorella accolgono l' attore	masculine	singular	feminine	singular			3482	accolgono	dicono	accolgono	V2	accoglie	num_violation	132	SS
embedding_mental_SR	il bambino dice che il fratello accolgono i figli	masculine	singular	masculine	singular			3757	accolgono	dicono	accolgono	V2	accoglie	num_violation	133	SS
embedding_mental_SR	il bambino dice che il fratello accolgono le ragazze	masculine	singular	masculine	singular			3758	accolgono	dicono	accolgono	V2	accoglie	num_violation	134	SS
embedding_mental_SR	il bambino dice che l' amico accolgono gli attori	masculine	singular	masculine	singular			3762	accolgono	dicono	accolgono	V2	accoglie	num_violation	135	SS
embedding_mental_SR	il figlio dice che il contadino accolgono la madre	masculine	singular	masculine	singular			3814	accolgono	dicono	accolgono	V2	accoglie	num_violation	136	SS
embedding_mental_SR	il figlio dice che l' amico accolgono le studentesse	masculine	singular	masculine	singular			3820	accolgono	dicono	accolgono	V2	accoglie	num_violation	137	SS
embedding_mental_SR	l' amico dice che l' uomo accolgono la studentessa	masculine	singular	masculine	singular			3916	accolgono	dicono	accolgono	V2	accoglie	num_violation	138	SS
embedding_mental_SR	l' attore dice che il bambino accolgono gli studenti	masculine	singular	masculine	singular			3930	accolgono	dicono	accolgono	V2	accoglie	num_violation	139	SS
embedding_mental_SR	la contadina dichiara che l' attrice accolgono le madri	feminine	singular	feminine	singular			1344	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	140	SS
embedding_mental_SR	la ragazza dichiara che la bambina accolgono i padri	feminine	singular	feminine	singular			1437	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	141	SS
embedding_mental_SR	l' amica dichiara che il bambino accolgono le sorelle	feminine	singular	masculine	singular			1758	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	142	SS
embedding_mental_SR	l' attrice dichiara che il fratello accolgono le amiche	feminine	singular	masculine	singular			1794	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	143	SS
embedding_mental_SR	l' attrice dichiara che l' uomo accolgono i bambini	feminine	singular	masculine	singular			1797	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	144	SS
embedding_mental_SR	la ragazza dichiara che il contadino accolgono gli studenti	feminine	singular	masculine	singular			1934	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	145	SS
embedding_mental_SR	la ragazza dichiara che il fratello accolgono i figli	feminine	singular	masculine	singular			1936	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	146	SS
embedding_mental_SR	la studentessa dichiara che l' uomo accolgono le donne	feminine	singular	masculine	singular			1988	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	147	SS
embedding_mental_SR	il fratello dichiara che la contadina accolgono la studentessa	masculine	singular	feminine	singular			3324	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	148	SS
embedding_mental_SR	il ragazzo dichiara che l' attrice accolgono i figli	masculine	singular	feminine	singular			3384	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	149	SS
embedding_mental_SR	l' amico dichiara che la madre accolgono i padri	masculine	singular	feminine	singular			3415	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	150	SS
embedding_mental_SR	l' uomo dichiara che la sorella accolgono la figlia	masculine	singular	feminine	singular			3461	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	151	SS
embedding_mental_SR	lo studente dichiara che la madre accolgono il contadino	masculine	singular	feminine	singular			3488	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	152	SS
embedding_mental_SR	il figlio dichiara che l' amico accolgono l' uomo	masculine	singular	masculine	singular			3832	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	153	SS
embedding_mental_SR	l' attore dichiara che l' uomo accolgono i ragazzi	masculine	singular	masculine	singular			3947	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	154	SS
embedding_mental_SR	l' uomo dichiara che il bambino accolgono la donna	masculine	singular	masculine	singular			3959	accolgono	dichiarano	accolgono	V2	accoglie	num_violation	155	SS
embedding_mental_SR	l' amica ricorda che la contadina accolgono la ragazza	feminine	singular	feminine	singular			1276	accolgono	ricordano	accolgono	V2	accoglie	num_violation	156	SS
embedding_mental_SR	la sorella ricorda che la figlia accolgono le bambine	feminine	singular	feminine	singular			1471	accolgono	ricordano	accolgono	V2	accoglie	num_violation	157	SS
embedding_mental_SR	l' attrice ricorda che il ragazzo accolgono le figlie	feminine	singular	masculine	singular			1801	accolgono	ricordano	accolgono	V2	accoglie	num_violation	158	SS
embedding_mental_SR	la contadina ricorda che il fratello accolgono la sorella	feminine	singular	masculine	singular			1843	accolgono	ricordano	accolgono	V2	accoglie	num_violation	159	SS
embedding_mental_SR	la contadina ricorda che l' uomo accolgono l' amica	feminine	singular	masculine	singular			1847	accolgono	ricordano	accolgono	V2	accoglie	num_violation	160	SS
embedding_mental_SR	la donna ricorda che il bambino accolgono l' attore	feminine	singular	masculine	singular			1866	accolgono	ricordano	accolgono	V2	accoglie	num_violation	161	SS
embedding_mental_SR	la figlia ricorda che il ragazzo accolgono lo studente	feminine	singular	masculine	singular			1897	accolgono	ricordano	accolgono	V2	accoglie	num_violation	162	SS
embedding_mental_SR	il bambino ricorda che la donna accolgono gli uomini	masculine	singular	feminine	singular			3269	accolgono	ricordano	accolgono	V2	accoglie	num_violation	163	SS
embedding_mental_SR	il bambino ricorda che la figlia accolgono i padri	masculine	singular	feminine	singular			3270	accolgono	ricordano	accolgono	V2	accoglie	num_violation	164	SS
embedding_mental_SR	il padre ricorda che la bambina accolgono l' amico	masculine	singular	feminine	singular			3366	accolgono	ricordano	accolgono	V2	accoglie	num_violation	165	SS
embedding_mental_SR	l' amico ricorda che la contadina accolgono le figlie	masculine	singular	feminine	singular			3420	accolgono	ricordano	accolgono	V2	accoglie	num_violation	166	SS
embedding_mental_SR	il padre ricorda che il contadino accolgono la madre	masculine	singular	masculine	singular			3881	accolgono	ricordano	accolgono	V2	accoglie	num_violation	167	SS
embedding_mental_SR	l' amico ricorda che il figlio accolgono le studentesse	masculine	singular	masculine	singular			3922	accolgono	ricordano	accolgono	V2	accoglie	num_violation	168	SS
