Sentence	Sentence_Type	condition	slide	violation
la madre dichiara che l' attore davanti al fratello attrae i bambini	embedding_mental	SSS	0	acceptable
l' attore ricorda che il contadino davanti ai padri attrae i fratelli	embedding_mental	SSP	0	acceptable
il fratello dice che le studentesse davanti al bambino interrompono le contadine	embedding_mental	SPS	0	acceptable
il ragazzo dichiara che gli studenti accanto agli uomini interrompono gli amici	embedding_mental	SPP	0	acceptable
gli amici dicono che le ragazze accanto alle sorelle evitano l' attrice	embedding_mental	PPP	0	acceptable
i bambini dichiarano che gli uomini accanto alla ragazza evitano le figlie	embedding_mental	PPS	0	acceptable
le bambine dicono che l' attore vicino ai padri ama le amiche	embedding_mental	PSP	0	acceptable
le donne ricordano che la bambina accanto alla sorella blocca il contadino	embedding_mental	PSS	0	acceptable
i fratelli che le figlie accogliere conoscono la sorella	objrel_that	PP	4	filler
i contadini che le donne ignorano indicare i figli	objrel_that	PP	5	filler
la studentessa che l' uomo davanti al contadino amare incontra i bambini	objrel_nounpp	SSS	7	filler
le bambine che l' attrice vicino all' uomo bloccare osservano le studentesse	objrel_nounpp	PSS	7	filler
la sorella che il ragazzo vicino alla bambina osserva ignorare le contadine	objrel_nounpp	SSS	8	filler
i bambini che gli attori accanto agli uomini osservano incontrare la madre	objrel_nounpp	PPP	8	filler
l' amico dice che le studentesse guardare i figli	embedding_mental_SR	SP	5	filler
la madre dichiara che gli studenti accanto alle contadine osservare i figli	embedding_mental	SPP	7	filler
gli amici dichiarano che la ragazza dietro al bambino incontrare il figlio	embedding_mental	PSS	7	filler
la ragazza che gli amici ricordo saluta la donna	objrel_that	SP	-4	filler
lo studente che le ragazze conoscono dichiaro le figlie	objrel_that	SP	-5	filler
il padre che la contadina vicino agli uomini conosci incontra lo studente	objrel_nounpp	SSP	-7	filler
la contadina che la madre vicino al ragazzo critichi osserva le figlie	objrel_nounpp	SSS	-7	filler
la studentessa che i contadini vicino alla sorella ricordano incontri il figlio	objrel_nounpp	SPS	-8	filler
i contadini che le ragazze dietro ai padri interrompono bloccate le bambine	objrel_nounpp	PPP	-8	filler
i contadini dicono che le madri davanti all' uomo criticate l' amica	embedding_mental	PPS	-7	filler
le madri dichiarano che la donna accanto al fratello evito il padre	embedding_mental	PSS	-7	filler
le attrici dichiarano che le ragazze bloccate il figlio	embedding_mental_SR	PP	-5	filler
il fratello che il bambino ragazzi saluta l' attore	objrel_that	SS	-4	filler
la ragazza che il contadino incontra donna gli studenti	objrel_that	SS	-5	filler
gli attori dicono che la donna studentesse l' amico	embedding_mental_SR	PS	-5	filler
i fratelli che i bambini dietro all' attrice amici incontrano il figlio	objrel_nounpp	PPS	-7	filler
il ragazzo che i bambini dietro alla contadina sorelle ama i fratelli	objrel_nounpp	SPS	-7	filler
gli attori che gli uomini dietro ai padri criticano studenti i figli	objrel_nounpp	PPP	-8	filler
le sorelle che le figlie dietro all' attrice incontrano bambina lo studente	objrel_nounpp	PPS	-8	filler
la donna ricorda che la sorella davanti all' attore ragazzo l' amico	embedding_mental	SSS	-7	filler
l' amica dice che l' uomo davanti alle sorelle attrice il padre	embedding_mental	SSP	-7	filler
la ginnastica che il contadino conosce guarda lo studente	objrel_that	SS	-1	filler
l' antipatia che il bambino davanti ai contadini attrae ferma il fratello	objrel_nounpp	SSP	-1	filler
le ragazze che le ginnastiche davanti agli uomini fermano amano il fratello	objrel_nounpp	PPP	-3	filler
il ragazzo dice che il dolore dietro alla contadina incontra i figli	embedding_mental	SSS	-4	filler
il dolore ricorda che i fratelli fermano i padri	embedding_mental_SR	SP	-1	filler
le penne che il ragazzo evita bloccano la donna	objrel_that	PS	-1	filler
il quaderno che il contadino dietro alle figlie ricorda indica i padri	objrel_nounpp	SSP	-1	filler
le sorelle che le matite vicino alle contadine ama criticano i fratelli	objrel_nounpp	PSP	-3	filler
gli uomini dicono che i quaderni accanto all' attrice attraggono il fratello	embedding_mental	PPS	-4	filler
lo studente che il padre interrompono guarda l' amico	objrel_that	SS	4	num_violation
il bambino che i padri sogna blocca il contadino	objrel_that	SP	4	num_violation
i contadini che gli attori ricorda osservano la ragazza	objrel_that	PP	4	num_violation
gli attori che il ragazzo interrompono amano la figlia	objrel_that	PS	4	num_violation
la bambina che la contadina guarda amano il figlio	objrel_that	SS	5	num_violation
lo studente che le amiche osservano amano le bambine	objrel_that	SP	5	num_violation
le studentesse che gli uomini indicano ricorda la madre	objrel_that	PP	5	num_violation
i fratelli che l' uomo interrompe blocca gli amici	objrel_that	PS	5	num_violation
l' attore che la contadina vicino al fratello amano interrompe il bambino	objrel_nounpp	SSS	7	num_violation
lo studente che la figlia davanti alle sorelle criticano ama le madri	objrel_nounpp	SSP	7	num_violation
il bambino che i padri vicino al figlio ama indica le studentesse	objrel_nounpp	SPS	7	num_violation
l' attrice che le contadine vicino alle sorelle critica ignora gli amici	objrel_nounpp	SPP	7	num_violation
gli attori che le figlie dietro alle ragazze attrae difendono il bambino	objrel_nounpp	PPP	7	num_violation
le attrici che gli amici dietro al fratello ignora amano le madri	objrel_nounpp	PPS	7	num_violation
i bambini che l' amico dietro alle madri amano conoscono il padre	objrel_nounpp	PSP	7	num_violation
le bambine che l' uomo vicino alla ragazza criticano bloccano la madre	objrel_nounpp	PSS	7	num_violation
il ragazzo che il fratello davanti alla studentessa ama attraggono le donne	objrel_nounpp	SSS	8	num_violation
il ragazzo che il padre dietro alle donne conosce incontrano gli amici	objrel_nounpp	SSP	8	num_violation
l' attore che le studentesse accanto all' amica ricordano ignorano la ragazza	objrel_nounpp	SPS	8	num_violation
l' attrice che gli amici dietro ai contadini incontrano guardano gli uomini	objrel_nounpp	SPP	8	num_violation
i figli che le studentesse accanto ai fratelli amano evita i ragazzi	objrel_nounpp	PPP	8	num_violation
le contadine che le amiche accanto all' attrice incontrano difende la donna	objrel_nounpp	PPS	8	num_violation
le figlie che l' attrice accanto ai padri incontra critica gli amici	objrel_nounpp	PSP	8	num_violation
le studentesse che l' attore davanti al fratello conosce incontra le donne	objrel_nounpp	PSS	8	num_violation
la bambina dice che la contadina ignorano gli amici	embedding_mental_SR	SS	5	num_violation
l' attore dichiara che le studentesse ferma i contadini	embedding_mental_SR	SP	5	num_violation
le attrici dicono che i ragazzi ama le contadine	embedding_mental_SR	PP	5	num_violation
le sorelle dichiarano che il ragazzo osservano le donne	embedding_mental_SR	PS	5	num_violation
la bambina dichiara che la ragazza vicino all' uomo salutano gli attori	embedding_mental	SSS	7	num_violation
la bambina dichiara che il fratello davanti agli attori attraggono la studentessa	embedding_mental	SSP	7	num_violation
l' amica dichiara che le bambine vicino all' uomo incontra la figlia	embedding_mental	SPS	7	num_violation
la ragazza ricorda che le donne dietro ai padri evita gli uomini	embedding_mental	SPP	7	num_violation
i fratelli dicono che le amiche accanto agli studenti indica i bambini	embedding_mental	PPP	7	num_violation
i contadini dicono che le madri davanti all' uomo critica l' amica	embedding_mental	PPS	7	num_violation
le amiche ricordano che la contadina vicino alle bambine guardano i padri	embedding_mental	PSP	7	num_violation
i contadini dichiarano che l' uomo davanti all' attore criticano il bambino	embedding_mental	PSS	7	num_violation
il ragazzo che il bambino accoglie attrae la studentessa	objrel_that	SS	0	acceptable
la madre che la donna indica osserva le figlie	objrel_that	SS	0	acceptable
il padre che i ragazzi criticano blocca l' attrice	objrel_that	SP	0	acceptable
l' attrice che i contadini amano conosce la bambina	objrel_that	SP	0	acceptable
le ragazze che i figli attraggono osservano il bambino	objrel_that	PP	0	acceptable
le donne che le ragazze ricordano conoscono i fratelli	objrel_that	PP	0	acceptable
i contadini che l' attrice interrompe evitano il figlio	objrel_that	PS	0	acceptable
le sorelle che il bambino incontra conoscono l' uomo	objrel_that	PS	0	acceptable
la figlia ricorda che il contadino indica la donna	embedding_mental_SR	SS	0	acceptable
la ragazza dichiara che le amiche difendono l' attrice	embedding_mental_SR	SP	0	acceptable
le donne ricordano che gli studenti evitano l' attrice	embedding_mental_SR	PP	0	acceptable
i figli dichiarano che il fratello osserva gli amici	embedding_mental_SR	PS	0	acceptable
la sorella che l' attore accanto al bambino difende conosce l' amica	objrel_nounpp	SSS	0	acceptable
l' attrice che la studentessa vicino all' amico conosce incontra i fratelli	objrel_nounpp	SSS	0	acceptable
l' amica che il fratello dietro alle attrici indica accoglie i contadini	objrel_nounpp	SSP	0	acceptable
l' amico che la contadina dietro agli attori ignora conosce le donne	objrel_nounpp	SSP	0	acceptable
l' amica che gli attori davanti allo studente criticano ferma le figlie	objrel_nounpp	SPS	0	acceptable
la figlia che le amiche dietro alla sorella incontrano saluta gli uomini	objrel_nounpp	SPS	0	acceptable
l' uomo che le madri accanto agli amici guardano attrae i figli	objrel_nounpp	SPP	0	acceptable
l' amico che le madri davanti alle bambine difendono ferma l' attrice	objrel_nounpp	SPP	0	acceptable
le studentesse che i figli vicino agli attori guardano salutano la sorella	objrel_nounpp	PPP	0	acceptable
i figli che le madri accanto alle attrici fermano difendono il contadino	objrel_nounpp	PPP	0	acceptable
gli uomini che i padri davanti alla figlia ignorano difendono le bambine	objrel_nounpp	PPS	0	acceptable
le ragazze che gli studenti dietro all' attrice conoscono incontrano le bambine	objrel_nounpp	PPS	0	acceptable
le contadine che la madre davanti alle figlie incontra accolgono le attrici	objrel_nounpp	PSP	0	acceptable
le sorelle che la figlia accanto alle donne accoglie osservano l' uomo	objrel_nounpp	PSP	0	acceptable
le figlie che la studentessa accanto all' amico critica difendono l' attore	objrel_nounpp	PSS	0	acceptable
gli studenti che l' amico accanto al ragazzo incontra bloccano le bambine	objrel_nounpp	PSS	0	acceptable
il fratello dice che la donna vicino allo studente evita la ragazza	embedding_mental	SSS	0	acceptable
l' amica dichiara che la bambina accanto alle madri accoglie la ragazza	embedding_mental	SSP	0	acceptable
la bambina dichiara che i fratelli davanti all' amico conoscono i padri	embedding_mental	SPS	0	acceptable
lo studente dice che le ragazze vicino alle amiche indicano il contadino	embedding_mental	SPP	0	acceptable
le sorelle dichiarano che le bambine accanto agli attori incontrano i padri	embedding_mental	PPP	0	acceptable
i bambini dicono che gli studenti dietro all' amico conoscono l' attrice	embedding_mental	PPS	0	acceptable
le studentesse dichiarano che l' amico dietro ai bambini indica i fratelli	embedding_mental	PSP	0	acceptable
le figlie dicono che il fratello davanti al padre ignora il ragazzo	embedding_mental	PSS	0	acceptable
lo studente che le figlie guardare saluta i contadini	objrel_that	SP	-4	filler
la ragazza che i figli amano salutare la donna	objrel_that	SP	-5	filler
la ragazza che gli uomini davanti ai figli conoscere osserva le donne	objrel_nounpp	SPP	-7	filler
il bambino che gli studenti davanti ai padri accogliere saluta la donna	objrel_nounpp	SPP	-7	filler
i fratelli che gli studenti dietro ai padri amano guardare le bambine	objrel_nounpp	PPP	-8	filler
le madri che la contadina davanti al bambino incontra salutare i padri	objrel_nounpp	PSS	-8	filler
le figlie dichiarano che l' attrice bloccare le studentesse	embedding_mental_SR	PS	-5	filler
le attrici ricordano che le sorelle vicino ai bambini conoscere la madre	embedding_mental	PPP	-7	filler
la contadina dice che la ragazza dietro agli amici salutare il figlio	embedding_mental	SSP	-7	filler
il figlio che gli amici guardiamo interrompe le donne	objrel_that	SP	-4	filler
gli amici che le ragazze attraggono attraiamo il contadino	objrel_that	PP	-5	filler
gli attori che il padre davanti agli studenti fermi amano la bambina	objrel_nounpp	PSP	-7	filler
la ragazza che le attrici accanto agli amici incontrate ricorda le contadine	objrel_nounpp	SPP	-7	filler
le attrici che i padri davanti ai figli osservano amate le ragazze	objrel_nounpp	PPP	-8	filler
l' attore che la ragazza davanti ai figli incontra ignori le amiche	objrel_nounpp	SSP	-8	filler
gli amici dicono che il fratello davanti alla bambina fermi il figlio	embedding_mental	PSS	-7	filler
gli amici dichiarano che il figlio davanti ai fratelli indichi le studentesse	embedding_mental	PSP	-7	filler
il bambino dice che le studentesse bloccate la contadina	embedding_mental_SR	SP	-5	filler
i padri che i bambini contadina evitano l' attore	objrel_that	PP	-4	filler
il figlio che le sorelle salutano studentesse le madri	objrel_that	SP	-5	filler
i padri ricordano che la contadina studenti gli attori	embedding_mental_SR	PS	-5	filler
le sorelle che la studentessa vicino alle madri donne osservano i fratelli	objrel_nounpp	PSP	-7	filler
i bambini che l' attrice vicino alle donne contadino ricordano la sorella	objrel_nounpp	PSP	-7	filler
la bambina che le contadine davanti al padre incontrano attrice le figlie	objrel_nounpp	SPS	-8	filler
il ragazzo che la figlia dietro alle contadine osserva padre l' amica	objrel_nounpp	SSP	-8	filler
gli studenti dicono che gli attori davanti al fratello padri le amiche	embedding_mental	PPS	-7	filler
il fratello dice che il padre accanto alle figlie contadine la contadina	embedding_mental	SSP	-7	filler
i piaceri che le madri osservano amano i figli	objrel_that	PP	-1	filler
il sonno che i bambini dietro all' attore fermano ricorda la ragazza	objrel_nounpp	SPS	-1	filler
il fratello che il dolore davanti ai padri salutano ricorda l' attrice	objrel_nounpp	SPP	-3	filler
il bambino dice che il sonno dietro ai padri osserva gli studenti	embedding_mental	SSP	-4	filler
i dispiaceri dicono che le amiche fermano il figlio	embedding_mental_SR	PP	-1	filler
i sedili che la donna blocca attraggono le contadine	objrel_that	PS	-1	filler
le lampade che la bambina accanto alle donne accoglie interrompono i figli	objrel_nounpp	PSP	-1	filler
l' uomo che il compasso davanti al contadino fermano ricorda i figli	objrel_nounpp	SPS	-3	filler
le ragazze dicono che le televisioni davanti ai padri ama le bambine	embedding_mental	PSP	-4	filler
l' attrice che il figlio incontrano saluta l' uomo	objrel_that	SS	4	num_violation
lo studente che le attrici ferma critica la sorella	objrel_that	SP	4	num_violation
i figli che le contadine conosce evitano le amiche	objrel_that	PP	4	num_violation
i fratelli che la donna difendono ignorano la contadina	objrel_that	PS	4	num_violation
lo studente che il bambino incontra evitano le donne	objrel_that	SS	5	num_violation
la sorella che gli amici salutano ricordano l' attore	objrel_that	SP	5	num_violation
le figlie che le madri osservano critica gli studenti	objrel_that	PP	5	num_violation
i contadini che l' amico ignora accoglie l' attore	objrel_that	PS	5	num_violation
l' amica che il contadino davanti alla bambina bloccano evita le madri	objrel_nounpp	SSS	7	num_violation
l' uomo che la figlia dietro alle studentesse bloccano osserva i fratelli	objrel_nounpp	SSP	7	num_violation
la ragazza che gli uomini accanto alla studentessa blocca indica il bambino	objrel_nounpp	SPS	7	num_violation
la contadina che le figlie vicino alle attrici difende ferma il fratello	objrel_nounpp	SPP	7	num_violation
i ragazzi che i bambini accanto agli attori incontra evitano la madre	objrel_nounpp	PPP	7	num_violation
i ragazzi che le figlie dietro alla contadina critica difendono il fratello	objrel_nounpp	PPS	7	num_violation
le figlie che la contadina accanto alle amiche ignorano indicano le madri	objrel_nounpp	PSP	7	num_violation
le contadine che l' attrice accanto alla ragazza accolgono ricordano gli uomini	objrel_nounpp	PSS	7	num_violation
il bambino che la figlia accanto al ragazzo interrompe fermano le donne	objrel_nounpp	SSS	8	num_violation
il contadino che l' attore dietro ai ragazzi saluta bloccano le figlie	objrel_nounpp	SSP	8	num_violation
l' amica che le bambine davanti al figlio osservano indicano gli uomini	objrel_nounpp	SPS	8	num_violation
l' amica che le ragazze dietro agli attori guardano salutano il contadino	objrel_nounpp	SPP	8	num_violation
le donne che gli studenti dietro alle amiche fermano ama la sorella	objrel_nounpp	PPP	8	num_violation
i contadini che gli amici accanto alla bambina attraggono incontra le donne	objrel_nounpp	PPS	8	num_violation
gli studenti che la bambina davanti alle ragazze ferma accoglie l' attrice	objrel_nounpp	PSP	8	num_violation
le amiche che il bambino davanti alla sorella ricorda sogna gli attori	objrel_nounpp	PSS	8	num_violation
il fratello dichiara che l' uomo interrompono le amiche	embedding_mental_SR	SS	5	num_violation
la sorella dice che le donne ferma l' amico	embedding_mental_SR	SP	5	num_violation
i fratelli ricordano che i figli incontra i ragazzi	embedding_mental_SR	PP	5	num_violation
i bambini ricordano che la figlia criticano lo studente	embedding_mental_SR	PS	5	num_violation
la figlia dichiara che l' amico dietro al bambino criticano le ragazze	embedding_mental	SSS	7	num_violation
il fratello ricorda che l' amico davanti ai figli fermano la sorella	embedding_mental	SSP	7	num_violation
il contadino ricorda che le figlie davanti al padre conosce gli amici	embedding_mental	SPS	7	num_violation
l' attore dichiara che le ragazze davanti alle studentesse critica il bambino	embedding_mental	SPP	7	num_violation
le contadine ricordano che le bambine davanti ai ragazzi ama la donna	embedding_mental	PPP	7	num_violation
le bambine ricordano che gli amici dietro al padre interrompe la studentessa	embedding_mental	PPS	7	num_violation
gli uomini dichiarano che la contadina davanti alle figlie interrompono l' attrice	embedding_mental	PSP	7	num_violation
le donne ricordano che il figlio dietro al fratello criticano il ragazzo	embedding_mental	PSS	7	num_violation
il padre che la studentessa accoglie ricorda la bambina	objrel_that	SS	0	acceptable
la madre che il ragazzo difende interrompe le bambine	objrel_that	SS	0	acceptable
il figlio che le contadine incontrano critica l' amico	objrel_that	SP	0	acceptable
l' uomo che i figli evitano ferma la contadina	objrel_that	SP	0	acceptable
gli amici che le attrici osservano fermano i bambini	objrel_that	PP	0	acceptable
gli uomini che le attrici amano conoscono la sorella	objrel_that	PP	0	acceptable
le attrici che il contadino incontra amano le ragazze	objrel_that	PS	0	acceptable
le ragazze che la figlia difende ignorano la studentessa	objrel_that	PS	0	acceptable
il fratello dice che l' amica interrompe il figlio	embedding_mental_SR	SS	0	acceptable
il contadino ricorda che le donne criticano il padre	embedding_mental_SR	SP	0	acceptable
le madri dichiarano che le donne salutano il bambino	embedding_mental_SR	PP	0	acceptable
i bambini dichiarano che la donna saluta l' attore	embedding_mental_SR	PS	0	acceptable
la studentessa che la ragazza davanti al contadino ignora incontra il bambino	objrel_nounpp	SSS	0	acceptable
la bambina che la madre dietro al contadino interrompe conosce le donne	objrel_nounpp	SSS	0	acceptable
il fratello che la madre accanto ai bambini osserva ferma le figlie	objrel_nounpp	SSP	0	acceptable
la ragazza che la sorella davanti ai padri blocca saluta la figlia	objrel_nounpp	SSP	0	acceptable
la madre che gli amici accanto alla donna interrompono evita i ragazzi	objrel_nounpp	SPS	0	acceptable
la donna che i ragazzi dietro all' attore difendono saluta lo studente	objrel_nounpp	SPS	0	acceptable
il bambino che le studentesse davanti ai fratelli ignorano evita gli amici	objrel_nounpp	SPP	0	acceptable
l' attore che i ragazzi dietro alle donne indicano attrae l' uomo	objrel_nounpp	SPP	0	acceptable
le attrici che le bambine dietro alle amiche bloccano amano il figlio	objrel_nounpp	PPP	0	acceptable
le amiche che i fratelli dietro ai padri ricordano conoscono i bambini	objrel_nounpp	PPP	0	acceptable
le attrici che le contadine dietro alla madre ignorano indicano l' amico	objrel_nounpp	PPS	0	acceptable
le studentesse che le madri dietro all' attore indicano ignorano gli amici	objrel_nounpp	PPS	0	acceptable
le attrici che la studentessa accanto ai bambini indica conoscono il figlio	objrel_nounpp	PSP	0	acceptable
le sorelle che l' attrice vicino ai ragazzi saluta accolgono le donne	objrel_nounpp	PSP	0	acceptable
le contadine che l' amica davanti al fratello ama bloccano l' attore	objrel_nounpp	PSS	0	acceptable
gli studenti che l' amico dietro all' attrice critica amano la donna	objrel_nounpp	PSS	0	acceptable
il padre dice che il contadino dietro al ragazzo saluta i figli	embedding_mental	SSS	0	acceptable
l' attore ricorda che la figlia davanti ai contadini difende la studentessa	embedding_mental	SSP	0	acceptable
l' amica ricorda che gli studenti dietro alla figlia criticano gli attori	embedding_mental	SPS	0	acceptable
la contadina dichiara che i bambini davanti ai ragazzi salutano le amiche	embedding_mental	SPP	0	acceptable
i padri dicono che i figli accanto alle studentesse conoscono l' amico	embedding_mental	PPP	0	acceptable
gli amici ricordano che le madri davanti all' attrice fermano la bambina	embedding_mental	PPS	0	acceptable
i contadini dicono che la donna davanti alle sorelle osserva la bambina	embedding_mental	PSP	0	acceptable
gli attori ricordano che la madre dietro alla sorella incontra il contadino	embedding_mental	PSS	0	acceptable
la sorella che gli attori indicare osserva le studentesse	objrel_that	SP	-4	filler
l' amica che l' uomo ricorda bloccare il fratello	objrel_that	SS	-5	filler
i contadini che l' amico accanto ai ragazzi interrompere indicano le sorelle	objrel_nounpp	PSP	-7	filler
le bambine che i contadini dietro alla sorella attrarre ignorano il ragazzo	objrel_nounpp	PPS	-7	filler
le sorelle che gli attori davanti ai ragazzi difendono incontrare le contadine	objrel_nounpp	PPP	-8	filler
le donne che i contadini dietro alle amiche criticano accogliere le bambine	objrel_nounpp	PPP	-8	filler
le donne dichiarano che le attrici fermare l' uomo	embedding_mental_SR	PP	-5	filler
il fratello ricorda che la madre davanti all' amica criticare i figli	embedding_mental	SSS	-7	filler
la madre dichiara che i contadini dietro alle amiche amare le attrici	embedding_mental	SPP	-7	filler
il bambino che i figli conosciamo interrompe i fratelli	objrel_that	SP	-4	filler
i ragazzi che le contadine conoscono difendete i figli	objrel_that	PP	-5	filler
gli uomini che la bambina dietro alle ragazze ricordo criticano le donne	objrel_nounpp	PSP	-7	filler
le attrici che il bambino accanto al contadino attrai ricordano le amiche	objrel_nounpp	PSS	-7	filler
il ragazzo che le figlie accanto al bambino interrompono critico i contadini	objrel_nounpp	SPS	-8	filler
le amiche che le bambine davanti alle donne amano bloccate gli attori	objrel_nounpp	PPP	-8	filler
la sorella ricorda che il contadino vicino ai ragazzi interrompi le donne	embedding_mental	SSP	-7	filler
il fratello dichiara che la ragazza dietro alle bambine conosci gli amici	embedding_mental	SSP	-7	filler
l' amico dichiara che gli studenti difendiamo il figlio	embedding_mental_SR	SP	-5	filler
i contadini che la figlia uomini guardano i bambini	objrel_that	PS	-4	filler
la ragazza che le contadine ricordano fratelli la sorella	objrel_that	SP	-5	filler
gli amici dicono che i ragazzi padri la figlia	embedding_mental_SR	PP	-5	filler
il figlio che l' amico accanto alla madre bambine ferma il padre	objrel_nounpp	SSS	-7	filler
le ragazze che l' attrice vicino ai padri uomo difendono il fratello	objrel_nounpp	PSP	-7	filler
lo studente che i contadini vicino agli attori fermano madre le amiche	objrel_nounpp	SPP	-8	filler
l' uomo che le bambine davanti ai contadini evitano padre gli studenti	objrel_nounpp	SPP	-8	filler
la donna dice che la contadina dietro alla madre attori il padre	embedding_mental	SSS	-7	filler
