a_Sentence_Type	b_Sentence	c_GenderN1	d_NumN1	e_GenderN2	f_NumN2	g_GenderN3	h_NumN3	i_NumFraseOrigine	j_New_word	k_Verb1	l_Verb2	m_Element_changed	n_Old_word	o_Violation_Type	p_number	q_condition	
embedding_mental_SR	i compassi dichiarano che le studentesse incontrano la madre	masculine	plural	feminine	plural			2082	compassi	dichiara	incontra	N1	gli uomini	inanimate	17	PP	
embedding_mental_SR	i compassi dicono che le bambine accolgono i padri	masculine	plural	feminine	plural			2087	compassi	dice	accoglie	N1	gli uomini	inanimate	18	PP	
embedding_mental_SR	i compassi dicono che le madri fermano il padre	masculine	plural	feminine	plural			2092	compassi	dice	ferma	N1	gli uomini	inanimate	19	PP	
embedding_mental_SR	i compassi ricordano che le bambine bloccano l' amica	masculine	plural	feminine	plural			2097	compassi	ricorda	blocca	N1	gli uomini	inanimate	20	PP	
embedding_mental_SR	i compassi ricordano che le madri guardano la donna	masculine	plural	feminine	plural			2102	compassi	ricorda	guarda	N1	gli uomini	inanimate	21	PP	
embedding_mental_SR	i compassi dichiarano che le ragazze amano le amiche	masculine	plural	feminine	plural			2107	compassi	dichiara	ama	N1	i bambini	inanimate	22	PP	
embedding_mental_SR	i compassi dicono che le amiche amano la madre	masculine	plural	feminine	plural			2112	compassi	dice	ama	N1	i bambini	inanimate	23	PP	
embedding_mental_SR	i compassi dicono che le figlie difendono l' uomo	masculine	plural	feminine	plural			2117	compassi	dice	difende	N1	i bambini	inanimate	24	PP	
embedding_mental_SR	i compassi ricordano che le amiche evitano le contadine	masculine	plural	feminine	plural			2122	compassi	ricorda	evita	N1	i bambini	inanimate	25	PP	
embedding_mental_SR	i compassi ricordano che le donne fermano le madri	masculine	plural	feminine	plural			2127	compassi	ricorda	ferma	N1	i bambini	inanimate	26	PP	
embedding_mental_SR	i compassi dichiarano che le amiche attraggono le donne	masculine	plural	feminine	plural			2132	compassi	dichiara	attrae	N1	i contadini	inanimate	27	PP	
embedding_mental_SR	i compassi dichiarano che le madri criticano l' attore	masculine	plural	feminine	plural			2137	compassi	dichiara	critica	N1	i contadini	inanimate	28	PP	
embedding_mental_SR	i compassi dichiarano che le studentesse osservano l' attore	masculine	plural	feminine	plural			2142	compassi	dichiara	osserva	N1	i contadini	inanimate	29	PP	
embedding_mental_SR	i compassi dicono che le donne evitano gli uomini	masculine	plural	feminine	plural			2147	compassi	dice	evita	N1	i contadini	inanimate	30	PP	
embedding_mental_SR	i compassi dicono che le madri accolgono il fratello	masculine	plural	feminine	plural			2152	compassi	dice	accoglie	N1	i contadini	inanimate	31	PP	
embedding_mental_SR	i compassi ricordano che le attrici guardano gli uomini	masculine	plural	feminine	plural			2157	compassi	ricorda	guarda	N1	i contadini	inanimate	32	PP	
embedding_mental_SR	i compassi ricordano che le madri criticano lo studente	masculine	plural	feminine	plural			2162	compassi	ricorda	critica	N1	i contadini	inanimate	33	PP	
embedding_mental_SR	i compassi ricordano che le studentesse osservano la sorella	masculine	plural	feminine	plural			2167	compassi	ricorda	osserva	N1	i contadini	inanimate	34	PP	
embedding_mental_SR	i compassi dichiarano che le madri accolgono lo studente	masculine	plural	feminine	plural			2172	compassi	dichiara	accoglie	N1	i figli	inanimate	35	PP	
embedding_mental_SR	i compassi dicono che le ragazze criticano i contadini	masculine	plural	feminine	plural			2177	compassi	dice	critica	N1	i figli	inanimate	36	PP	
embedding_mental_SR	i compassi ricordano che le madri interrompono il ragazzo	masculine	plural	feminine	plural			2182	compassi	ricorda	interrompe	N1	i figli	inanimate	37	PP	
embedding_mental_SR	i compassi dichiarano che le attrici osservano la studentessa	masculine	plural	feminine	plural			2187	compassi	dichiara	osserva	N1	i fratelli	inanimate	38	PP	
embedding_mental_SR	i compassi dicono che le bambine accolgono i contadini	masculine	plural	feminine	plural			2192	compassi	dice	accoglie	N1	i fratelli	inanimate	39	PP	
embedding_mental_SR	i compassi dicono che le madri conoscono le figlie	masculine	plural	feminine	plural			2197	compassi	dice	conosce	N1	i fratelli	inanimate	40	PP	
embedding_mental_SR	i compassi ricordano che le madri fermano il padre	masculine	plural	feminine	plural			2202	compassi	ricorda	ferma	N1	i fratelli	inanimate	41	PP	
embedding_mental_SR	i compassi dichiarano che le donne salutano la bambina	masculine	plural	feminine	plural			2207	compassi	dichiara	saluta	N1	i padri	inanimate	42	PP	
embedding_mental_SR	i compassi dicono che le figlie guardano l' amica	masculine	plural	feminine	plural			2212	compassi	dice	guarda	N1	i padri	inanimate	43	PP	
embedding_mental_SR	i compassi dicono che le studentesse indicano il contadino	masculine	plural	feminine	plural			2217	compassi	dice	indica	N1	i padri	inanimate	44	PP	
embedding_mental_SR	i compassi ricordano che le ragazze fermano le attrici	masculine	plural	feminine	plural			2222	compassi	ricorda	ferma	N1	i padri	inanimate	45	PP	
embedding_mental_SR	i compassi dichiarano che le amiche osservano il contadino	masculine	plural	feminine	plural			2227	compassi	dichiara	osserva	N1	i ragazzi	inanimate	46	PP	
embedding_mental_SR	i compassi dichiarano che le bambine salutano la donna	masculine	plural	feminine	plural			2232	compassi	dichiara	saluta	N1	i ragazzi	inanimate	47	PP	
embedding_mental_SR	i compassi dichiarano che le sorelle indicano l' amico	masculine	plural	feminine	plural			2237	compassi	dichiara	indica	N1	i ragazzi	inanimate	48	PP	
embedding_mental_SR	i compassi dicono che le attrici guardano gli uomini	masculine	plural	feminine	plural			2242	compassi	dice	guarda	N1	i ragazzi	inanimate	49	PP	
embedding_mental_SR	i compassi ricordano che le attrici incontrano i fratelli	masculine	plural	feminine	plural			2247	compassi	ricorda	incontra	N1	i ragazzi	inanimate	50	PP	
embedding_mental_SR	i compassi dichiarano che la sorella conosce le attrici	masculine	plural	feminine	singular			2252	compassi	dichiara	conoscono	N1	gli amici	inanimate	51	PS	
embedding_mental_SR	i compassi dicono che la sorella evita le figlie	masculine	plural	feminine	singular			2257	compassi	dice	evitano	N1	gli amici	inanimate	52	PS	
embedding_mental_SR	i compassi ricordano che la bambina ferma le studentesse	masculine	plural	feminine	singular			2262	compassi	ricorda	fermano	N1	gli amici	inanimate	53	PS	
embedding_mental_SR	i compassi dichiarano che l' amica evita i figli	masculine	plural	feminine	singular			2267	compassi	dichiara	evitano	N1	gli attori	inanimate	54	PS	
embedding_mental_SR	i compassi dichiarano che la ragazza incontra l' amica	masculine	plural	feminine	singular			2272	compassi	dichiara	incontrano	N1	gli attori	inanimate	55	PS	
embedding_mental_SR	i compassi dicono che la contadina saluta le figlie	masculine	plural	feminine	singular			2277	compassi	dice	salutano	N1	gli attori	inanimate	56	PS	
embedding_mental_SR	i compassi ricordano che la contadina incontra lo studente	masculine	plural	feminine	singular			2282	compassi	ricorda	incontrano	N1	gli attori	inanimate	57	PS	
embedding_mental_SR	i compassi ricordano che la sorella incontra i figli	masculine	plural	feminine	singular			2287	compassi	ricorda	incontrano	N1	gli attori	inanimate	58	PS	
embedding_mental_SR	i compassi dichiarano che la contadina incontra le figlie	masculine	plural	feminine	singular			2292	compassi	dichiara	incontrano	N1	gli studenti	inanimate	59	PS	
embedding_mental_SR	i compassi dichiarano che la ragazza conosce i fratelli	masculine	plural	feminine	singular			2297	compassi	dichiara	conoscono	N1	gli studenti	inanimate	60	PS	
embedding_mental_SR	i compassi dicono che l' amica interrompe il fratello	masculine	plural	feminine	singular			2302	compassi	dice	interrompono	N1	gli studenti	inanimate	61	PS	
embedding_mental_SR	i compassi dicono che la contadina saluta il figlio	masculine	plural	feminine	singular			2307	compassi	dice	salutano	N1	gli studenti	inanimate	62	PS	
embedding_mental_SR	i compassi dicono che la ragazza critica le bambine	masculine	plural	feminine	singular			2312	compassi	dice	criticano	N1	gli studenti	inanimate	63	PS	
embedding_mental_SR	i compassi ricordano che la contadina critica i bambini	masculine	plural	feminine	singular			2317	compassi	ricorda	criticano	N1	gli studenti	inanimate	64	PS	
embedding_mental_SR	i compassi ricordano che la ragazza osserva l' attrice	masculine	plural	feminine	singular			2322	compassi	ricorda	osservano	N1	gli studenti	inanimate	65	PS	
embedding_mental_SR	i compassi dichiarano che l' attrice interrompe i ragazzi	masculine	plural	feminine	singular			2327	compassi	dichiara	interrompono	N1	gli uomini	inanimate	66	PS	
embedding_mental_SR	i compassi dichiarano che la madre difende il fratello	masculine	plural	feminine	singular			2332	compassi	dichiara	difendono	N1	gli uomini	inanimate	67	PS	
embedding_mental_SR	i compassi dicono che l' attrice ferma la figlia	masculine	plural	feminine	singular			2337	compassi	dice	fermano	N1	gli uomini	inanimate	68	PS	
embedding_mental_SR	i compassi dicono che la sorella blocca il bambino	masculine	plural	feminine	singular			2342	compassi	dice	bloccano	N1	gli uomini	inanimate	69	PS	
embedding_mental_SR	i compassi ricordano che la bambina ama la studentessa	masculine	plural	feminine	singular			2347	compassi	ricorda	amano	N1	gli uomini	inanimate	70	PS	
embedding_mental_SR	i compassi ricordano che la madre incontra il contadino	masculine	plural	feminine	singular			2352	compassi	ricorda	incontrano	N1	gli uomini	inanimate	71	PS	
embedding_mental_SR	i compassi dichiarano che la donna saluta l' attore	masculine	plural	feminine	singular			2357	compassi	dichiara	salutano	N1	i bambini	inanimate	72	PS	
embedding_mental_SR	i compassi dichiarano che la studentessa ama gli amici	masculine	plural	feminine	singular			2362	compassi	dichiara	amano	N1	i bambini	inanimate	73	PS	
embedding_mental_SR	i compassi ricordano che l' amica critica gli uomini	masculine	plural	feminine	singular			2367	compassi	ricorda	criticano	N1	i bambini	inanimate	74	PS	
embedding_mental_SR	i compassi ricordano che la madre saluta i padri	masculine	plural	feminine	singular			2372	compassi	ricorda	salutano	N1	i bambini	inanimate	75	PS	
embedding_mental_SR	i compassi dichiarano che la madre difende la donna	masculine	plural	feminine	singular			2377	compassi	dichiara	difendono	N1	i contadini	inanimate	76	PS	
embedding_mental_SR	i compassi dichiarano che la studentessa critica gli attori	masculine	plural	feminine	singular			2382	compassi	dichiara	criticano	N1	i contadini	inanimate	77	PS	
embedding_mental_SR	i compassi dicono che la madre osserva le figlie	masculine	plural	feminine	singular			2387	compassi	dice	osservano	N1	i contadini	inanimate	78	PS	
embedding_mental_SR	i compassi ricordano che la donna saluta la bambina	masculine	plural	feminine	singular			2392	compassi	ricorda	salutano	N1	i contadini	inanimate	79	PS	
embedding_mental_SR	i compassi dichiarano che la contadina saluta le amiche	masculine	plural	feminine	singular			2397	compassi	dichiara	salutano	N1	i figli	inanimate	80	PS	
embedding_mental_SR	i compassi dichiarano che la madre accoglie le contadine	masculine	plural	feminine	singular			2402	compassi	dichiara	accolgono	N1	i figli	inanimate	81	PS	
embedding_mental_SR	i compassi dicono che la madre incontra la bambina	masculine	plural	feminine	singular			2407	compassi	dice	incontrano	N1	i figli	inanimate	82	PS	
embedding_mental_SR	i compassi ricordano che la madre attrae le ragazze	masculine	plural	feminine	singular			2412	compassi	ricorda	attraggono	N1	i figli	inanimate	83	PS	
embedding_mental_SR	i compassi dichiarano che l' amica ferma il contadino	masculine	plural	feminine	singular			2417	compassi	dichiara	fermano	N1	i fratelli	inanimate	84	PS	
embedding_mental_SR	i compassi dichiarano che la donna conosce la madre	masculine	plural	feminine	singular			2422	compassi	dichiara	conoscono	N1	i fratelli	inanimate	85	PS	
embedding_mental_SR	i compassi dichiarano che la studentessa attrae il ragazzo	masculine	plural	feminine	singular			2427	compassi	dichiara	attraggono	N1	i fratelli	inanimate	86	PS	
embedding_mental_SR	i compassi dicono che la madre difende l' amico	masculine	plural	feminine	singular			2432	compassi	dice	difendono	N1	i fratelli	inanimate	87	PS	
embedding_mental_SR	i compassi ricordano che l' amica ferma lo studente	masculine	plural	feminine	singular			2437	compassi	ricorda	fermano	N1	i fratelli	inanimate	88	PS	
embedding_mental_SR	i compassi ricordano che la figlia ama gli studenti	masculine	plural	feminine	singular			2442	compassi	ricorda	amano	N1	i fratelli	inanimate	89	PS	
embedding_mental_SR	i compassi dichiarano che l' attrice ama gli uomini	masculine	plural	feminine	singular			2447	compassi	dichiara	amano	N1	i padri	inanimate	90	PS	
embedding_mental_SR	i compassi dichiarano che la donna ferma i contadini	masculine	plural	feminine	singular			2452	compassi	dichiara	fermano	N1	i padri	inanimate	91	PS	
embedding_mental_SR	i compassi dicono che l' amica ama le sorelle	masculine	plural	feminine	singular			2457	compassi	dice	amano	N1	i padri	inanimate	92	PS	
embedding_mental_SR	i compassi dicono che la sorella guarda la contadina	masculine	plural	feminine	singular			2462	compassi	dice	guardano	N1	i padri	inanimate	93	PS	
embedding_mental_SR	i compassi ricordano che la bambina attrae il ragazzo	masculine	plural	feminine	singular			2467	compassi	ricorda	attraggono	N1	i padri	inanimate	94	PS	
embedding_mental_SR	i compassi ricordano che la donna blocca gli uomini	masculine	plural	feminine	singular			2472	compassi	ricorda	bloccano	N1	i padri	inanimate	95	PS	
embedding_mental_SR	i compassi dichiarano che la bambina evita la donna	masculine	plural	feminine	singular			2477	compassi	dichiara	evitano	N1	i ragazzi	inanimate	96	PS	
embedding_mental_SR	i compassi dichiarano che la studentessa attrae la figlia	masculine	plural	feminine	singular			2482	compassi	dichiara	attraggono	N1	i ragazzi	inanimate	97	PS	
embedding_mental_SR	i compassi dicono che la madre ferma la studentessa	masculine	plural	feminine	singular			2487	compassi	dice	fermano	N1	i ragazzi	inanimate	98	PS	
embedding_mental_SR	i compassi ricordano che l' amica indica gli attori	masculine	plural	feminine	singular			2492	compassi	ricorda	indicano	N1	i ragazzi	inanimate	99	PS	
embedding_mental_SR	i compassi ricordano che la figlia conosce l' amica	masculine	plural	feminine	singular			2497	compassi	ricorda	conoscono	N1	i ragazzi	inanimate	100	PS	
embedding_mental_SR	i compassi dichiarano che gli uomini osservano l' attore	masculine	plural	masculine	plural			2502	compassi	dichiara	osserva	N1	gli amici	inanimate	101	PP	
embedding_mental_SR	i compassi dicono che i contadini bloccano il figlio	masculine	plural	masculine	plural			2507	compassi	dice	blocca	N1	gli amici	inanimate	102	PP	
embedding_mental_SR	i compassi dicono che i ragazzi difendono la figlia	masculine	plural	masculine	plural			2512	compassi	dice	difende	N1	gli amici	inanimate	103	PP	
embedding_mental_SR	i compassi ricordano che i figli accolgono i contadini	masculine	plural	masculine	plural			2517	compassi	ricorda	accoglie	N1	gli amici	inanimate	104	PP	
embedding_mental_SR	i compassi dichiarano che gli amici guardano la contadina	masculine	plural	masculine	plural			2522	compassi	dichiara	guarda	N1	gli attori	inanimate	105	PP	
embedding_mental_SR	i compassi dichiarano che i bambini osservano la contadina	masculine	plural	masculine	plural			2527	compassi	dichiara	osserva	N1	gli attori	inanimate	106	PP	
embedding_mental_SR	i compassi dicono che gli studenti amano il figlio	masculine	plural	masculine	plural			2532	compassi	dice	ama	N1	gli attori	inanimate	107	PP	
embedding_mental_SR	i compassi dicono che i padri amano il fratello	masculine	plural	masculine	plural			2537	compassi	dice	ama	N1	gli attori	inanimate	108	PP	
embedding_mental_SR	i compassi dicono che i ragazzi bloccano i padri	masculine	plural	masculine	plural			2542	compassi	dice	blocca	N1	gli attori	inanimate	109	PP	
embedding_mental_SR	i compassi ricordano che i figli ignorano le ragazze	masculine	plural	masculine	plural			2547	compassi	ricorda	ignora	N1	gli attori	inanimate	110	PP	
embedding_mental_SR	i compassi dichiarano che gli amici fermano il bambino	masculine	plural	masculine	plural			2552	compassi	dichiara	ferma	N1	gli studenti	inanimate	111	PP	
embedding_mental_SR	i compassi dichiarano che i contadini salutano i figli	masculine	plural	masculine	plural			2557	compassi	dichiara	saluta	N1	gli studenti	inanimate	112	PP	
embedding_mental_SR	i compassi dichiarano che i ragazzi interrompono la bambina	masculine	plural	masculine	plural			2562	compassi	dichiara	interrompe	N1	gli studenti	inanimate	113	PP	
embedding_mental_SR	i compassi ricordano che i figli accolgono le bambine	masculine	plural	masculine	plural			2567	compassi	ricorda	accoglie	N1	gli studenti	inanimate	114	PP	
embedding_mental_SR	i compassi ricordano che i ragazzi fermano le attrici	masculine	plural	masculine	plural			2572	compassi	ricorda	ferma	N1	gli studenti	inanimate	115	PP	
embedding_mental_SR	i compassi dichiarano che gli studenti ignorano il ragazzo	masculine	plural	masculine	plural			2577	compassi	dichiara	ignora	N1	gli uomini	inanimate	116	PP	
embedding_mental_SR	i compassi dicono che gli attori evitano la contadina	masculine	plural	masculine	plural			2582	compassi	dice	evita	N1	gli uomini	inanimate	117	PP	
embedding_mental_SR	i compassi ricordano che gli amici guardano la bambina	masculine	plural	masculine	plural			2587	compassi	ricorda	guarda	N1	gli uomini	inanimate	118	PP	
embedding_mental_SR	i compassi ricordano che i fratelli attraggono l' amico	masculine	plural	masculine	plural			2592	compassi	ricorda	attrae	N1	gli uomini	inanimate	119	PP	
embedding_mental_SR	i compassi dichiarano che gli uomini difendono gli studenti	masculine	plural	masculine	plural			2597	compassi	dichiara	difende	N1	i bambini	inanimate	120	PP	
embedding_mental_SR	i compassi dicono che gli studenti indicano le ragazze	masculine	plural	masculine	plural			2602	compassi	dice	indica	N1	i bambini	inanimate	121	PP	
embedding_mental_SR	i compassi dicono che i padri amano i ragazzi	masculine	plural	masculine	plural			2607	compassi	dice	ama	N1	i bambini	inanimate	122	PP	
embedding_mental_SR	i compassi ricordano che gli uomini interrompono le attrici	masculine	plural	masculine	plural			2612	compassi	ricorda	interrompe	N1	i bambini	inanimate	123	PP	
embedding_mental_SR	i compassi dichiarano che gli amici salutano i figli	masculine	plural	masculine	plural			2617	compassi	dichiara	saluta	N1	i contadini	inanimate	124	PP	
embedding_mental_SR	i compassi dichiarano che i figli bloccano le studentesse	masculine	plural	masculine	plural			2622	compassi	dichiara	blocca	N1	i contadini	inanimate	125	PP	
embedding_mental_SR	i compassi dichiarano che i ragazzi salutano le sorelle	masculine	plural	masculine	plural			2627	compassi	dichiara	saluta	N1	i contadini	inanimate	126	PP	
embedding_mental_SR	i compassi dicono che gli uomini salutano le attrici	masculine	plural	masculine	plural			2632	compassi	dice	saluta	N1	i contadini	inanimate	127	PP	
embedding_mental_SR	i compassi dicono che i ragazzi incontrano la madre	masculine	plural	masculine	plural			2637	compassi	dice	incontra	N1	i contadini	inanimate	128	PP	
embedding_mental_SR	i compassi ricordano che i figli osservano le studentesse	masculine	plural	masculine	plural			2642	compassi	ricorda	osserva	N1	i contadini	inanimate	129	PP	
embedding_mental_SR	i compassi ricordano che i padri salutano gli amici	masculine	plural	masculine	plural			2647	compassi	ricorda	saluta	N1	i contadini	inanimate	130	PP	
embedding_mental_SR	i compassi dichiarano che i fratelli attraggono la bambina	masculine	plural	masculine	plural			2652	compassi	dichiara	attrae	N1	i figli	inanimate	131	PP	
embedding_mental_SR	i compassi dicono che gli uomini indicano l' attrice	masculine	plural	masculine	plural			2657	compassi	dice	indica	N1	i figli	inanimate	132	PP	
embedding_mental_SR	i compassi ricordano che gli amici criticano le attrici	masculine	plural	masculine	plural			2662	compassi	ricorda	critica	N1	i figli	inanimate	133	PP	
embedding_mental_SR	i compassi dichiarano che gli amici evitano l' uomo	masculine	plural	masculine	plural			2667	compassi	dichiara	evita	N1	i fratelli	inanimate	134	PP	
embedding_mental_SR	i compassi dichiarano che i figli conoscono l' attrice	masculine	plural	masculine	plural			2672	compassi	dichiara	conosce	N1	i fratelli	inanimate	135	PP	
embedding_mental_SR	i compassi dicono che gli studenti incontrano la contadina	masculine	plural	masculine	plural			2677	compassi	dice	incontra	N1	i fratelli	inanimate	136	PP	
embedding_mental_SR	i compassi dicono che i figli bloccano i contadini	masculine	plural	masculine	plural			2682	compassi	dice	blocca	N1	i fratelli	inanimate	137	PP	
embedding_mental_SR	i compassi ricordano che gli uomini bloccano le sorelle	masculine	plural	masculine	plural			2687	compassi	ricorda	blocca	N1	i fratelli	inanimate	138	PP	
embedding_mental_SR	i compassi dichiarano che gli attori indicano il fratello	masculine	plural	masculine	plural			2692	compassi	dichiara	indica	N1	i padri	inanimate	139	PP	
embedding_mental_SR	i compassi dichiarano che i figli interrompono i contadini	masculine	plural	masculine	plural			2697	compassi	dichiara	interrompe	N1	i padri	inanimate	140	PP	
embedding_mental_SR	i compassi dicono che i bambini attraggono il contadino	masculine	plural	masculine	plural			2702	compassi	dice	attrae	N1	i padri	inanimate	141	PP	
embedding_mental_SR	i compassi ricordano che gli studenti ignorano i contadini	masculine	plural	masculine	plural			2707	compassi	ricorda	ignora	N1	i padri	inanimate	142	PP	
embedding_mental_SR	i compassi ricordano che i figli attraggono il fratello	masculine	plural	masculine	plural			2712	compassi	ricorda	attrae	N1	i padri	inanimate	143	PP	
embedding_mental_SR	i compassi dichiarano che gli amici interrompono il contadino	masculine	plural	masculine	plural			2717	compassi	dichiara	interrompe	N1	i ragazzi	inanimate	144	PP	
embedding_mental_SR	i compassi dichiarano che i figli criticano l' attore	masculine	plural	masculine	plural			2722	compassi	dichiara	critica	N1	i ragazzi	inanimate	145	PP	
embedding_mental_SR	i compassi dichiarano che i padri interrompono la contadina	masculine	plural	masculine	plural			2727	compassi	dichiara	interrompe	N1	i ragazzi	inanimate	146	PP	
embedding_mental_SR	i compassi dicono che gli uomini amano gli amici	masculine	plural	masculine	plural			2732	compassi	dice	ama	N1	i ragazzi	inanimate	147	PP	
embedding_mental_SR	i compassi dicono che i fratelli ignorano il figlio	masculine	plural	masculine	plural			2737	compassi	dice	ignora	N1	i ragazzi	inanimate	148	PP	
embedding_mental_SR	i compassi ricordano che gli attori indicano gli uomini	masculine	plural	masculine	plural			2742	compassi	ricorda	indica	N1	i ragazzi	inanimate	149	PP	
embedding_mental_SR	i compassi ricordano che i contadini evitano la sorella	masculine	plural	masculine	plural			2747	compassi	ricorda	evita	N1	i ragazzi	inanimate	150	PP	
embedding_mental_SR	i compassi dichiarano che il bambino osserva la figlia	masculine	plural	masculine	singular			2752	compassi	dichiara	osservano	N1	gli amici	inanimate	151	PS	
embedding_mental_SR	i compassi dichiarano che l' attore conosce l' uomo	masculine	plural	masculine	singular			2757	compassi	dichiara	conoscono	N1	gli amici	inanimate	152	PS	
embedding_mental_SR	i compassi dicono che il fratello ferma i bambini	masculine	plural	masculine	singular			2762	compassi	dice	fermano	N1	gli amici	inanimate	153	PS	
embedding_mental_SR	i compassi dicono che il ragazzo osserva la bambina	masculine	plural	masculine	singular			2767	compassi	dice	osservano	N1	gli amici	inanimate	154	PS	
embedding_mental_SR	i compassi ricordano che il figlio evita la sorella	masculine	plural	masculine	singular			2772	compassi	ricorda	evitano	N1	gli amici	inanimate	155	PS	
embedding_mental_SR	i compassi ricordano che l' attore ignora lo studente	masculine	plural	masculine	singular			2777	compassi	ricorda	ignorano	N1	gli amici	inanimate	156	PS	
embedding_mental_SR	i compassi dichiarano che il fratello ama la donna	masculine	plural	masculine	singular			2782	compassi	dichiara	amano	N1	gli attori	inanimate	157	PS	
embedding_mental_SR	i compassi dichiarano che il ragazzo ignora i figli	masculine	plural	masculine	singular			2787	compassi	dichiara	ignorano	N1	gli attori	inanimate	158	PS	
embedding_mental_SR	i compassi dicono che il figlio incontra l' amica	masculine	plural	masculine	singular			2792	compassi	dice	incontrano	N1	gli attori	inanimate	159	PS	
embedding_mental_SR	i compassi dicono che il ragazzo indica il padre	masculine	plural	masculine	singular			2797	compassi	dice	indicano	N1	gli attori	inanimate	160	PS	
embedding_mental_SR	i compassi ricordano che l' amico blocca le donne	masculine	plural	masculine	singular			2802	compassi	ricorda	bloccano	N1	gli attori	inanimate	161	PS	
embedding_mental_SR	i compassi dichiarano che il contadino attrae i figli	masculine	plural	masculine	singular			2807	compassi	dichiara	attraggono	N1	gli studenti	inanimate	162	PS	
embedding_mental_SR	i compassi dichiarano che il fratello attrae i contadini	masculine	plural	masculine	singular			2812	compassi	dichiara	attraggono	N1	gli studenti	inanimate	163	PS	
embedding_mental_SR	i compassi dicono che il contadino indica i figli	masculine	plural	masculine	singular			2817	compassi	dice	indicano	N1	gli studenti	inanimate	164	PS	
embedding_mental_SR	i compassi ricordano che il padre guarda i bambini	masculine	plural	masculine	singular			2822	compassi	ricorda	guardano	N1	gli studenti	inanimate	165	PS	
embedding_mental_SR	i compassi dichiarano che il bambino guarda le contadine	masculine	plural	masculine	singular			2827	compassi	dichiara	guardano	N1	gli uomini	inanimate	166	PS	
embedding_mental_SR	i compassi dichiarano che il ragazzo osserva le studentesse	masculine	plural	masculine	singular			2832	compassi	dichiara	osservano	N1	gli uomini	inanimate	167	PS	
embedding_mental_SR	i compassi dichiarano che lo studente indica la figlia	masculine	plural	masculine	singular			2837	compassi	dichiara	indicano	N1	gli uomini	inanimate	168	PS	
embedding_mental_SR	i compassi ricordano che il contadino incontra la madre	masculine	plural	masculine	singular			2842	compassi	ricorda	incontrano	N1	gli uomini	inanimate	169	PS	
embedding_mental_SR	i compassi ricordano che l' amico blocca il bambino	masculine	plural	masculine	singular			2847	compassi	ricorda	bloccano	N1	gli uomini	inanimate	170	PS	
embedding_mental_SR	i compassi dichiarano che il contadino saluta le madri	masculine	plural	masculine	singular			2852	compassi	dichiara	salutano	N1	i bambini	inanimate	171	PS	
