Sentence_Type,Sentence,GenderN1,NumN1,GenderN2,NumN2,GenderN3,NumN3,NumFraseOrigine,New_word,Verb1,Verb2,Element_changed,Old_word,Violation_Type,number,condition,slide,frequency,length,block,IncludedWords1,IncludedWords2,IncludedWords3,IncludedWords4,IncludedWords5,IncludedWords6,MeanLogFreq_W,MeanLength_W,ConditionAggragated
objrel_nounpp,la_ragazza che la_studentessa accanto alle_bambine critica conosce le_figlie,feminine,singular,feminine,singular,feminine,plural,845,NaN,criticano,conoscono,NaN,NaN,acceptable,845,SSP,0,NaN,NaN,4,ragazza,studentessa,bambine,critica,conosce,figlie,8.07461969157951,7.5,objrel_nounpp_______SSP
objrel_that,il_figlio che le_madri ricordano accolgono i_bambini,masculine,singular,feminine,plural,NaN,NaN,3057,accolgono,ricorda,accolgono,V2,accoglie,num_violation,454,SP,5,NaN,NaN,3,figlio,madri,ricordano,accolgono,bambini,,7.59879123378133,7.2,objrel_that_________SP
objrel_nounpp,la_ragazza che l'_amica davanti alla_contadina figli attrae le_madri,feminine,singular,feminine,singular,feminine,singular,1372,figli,ignorano,attraggono,V1,ignora,verb_noun,3745,SSS,-7,NaN,NaN,2,ragazza,amica,contadina,figli,attrae,madri,7.84791917299023,6.16666666666667,objrel_nounpp_______SSS
objrel_nounpp,i_contadini che l'_attrice davanti al_padre ignora difendono la_madre,masculine,plural,feminine,singular,masculine,singular,2296,NaN,ignorano,difende,NaN,NaN,acceptable,2296,PSS,0,NaN,NaN,5,contadini,attrice,padre,ignora,difendono,madre,7.82739410972757,6.83333333333333,objrel_nounpp_______PSS
embedding_mental_SR,le_studentesse dicono che il_figlio bloccano le_attrici,feminine,plural,masculine,singular,NaN,NaN,980,bloccano,dice,bloccano,V2,blocca,num_violation,967,PS,5,NaN,NaN,4,studentesse,dicono,figlio,bloccano,attrici,,7.30272054250707,7.6,embedding_mental_SR_PS
embedding_mental_SR,la_donna ricorda che l'_attrice indicano la_madre,feminine,singular,feminine,singular,NaN,NaN,1366,indicano,ricordano,indicano,V2,indica,num_violation,3169,SS,5,NaN,NaN,5,donna,ricorda,attrice,indicano,madre,,9.0470966188502,6.4,embedding_mental_SR_SS
objrel_that,il_fratello che gli_uomini incontra ignora il_ragazzo,masculine,singular,masculine,plural,NaN,NaN,3585,incontra,incontra,ignorano,V1,incontrano,num_violation,5357,SP,4,NaN,NaN,5,fratello,uomini,incontra,ignora,ragazzo,,8.79318784608661,7,objrel_that_________SP
objrel_nounpp,le_figlie che il_contadino vicino al_ragazzo ricorda criticano la_studentessa,feminine,plural,masculine,singular,masculine,singular,2770,NaN,ricordano,critica,NaN,NaN,acceptable,2770,PSS,0,NaN,NaN,4,figlie,contadino,ragazzo,ricorda,criticano,studentessa,7.43646919121616,8.16666666666667,objrel_nounpp_______PSS
objrel_nounpp,i_bambini che gli_studenti accanto alle_figlie guardano blocca il_fratello,masculine,plural,masculine,plural,feminine,plural,2538,blocca,guarda,blocca,V2,bloccano,num_violation,1609,PPP,8,NaN,NaN,3,bambini,studenti,figlie,guardano,blocca,fratello,8.30669814731449,7.16666666666667,objrel_nounpp_______PPP
objrel_nounpp,la_donna che il_padre accanto all'_amico ignora ricorda le_madri,feminine,singular,masculine,singular,masculine,singular,649,NaN,ignorano,ricordano,NaN,NaN,acceptable,649,SSS,0,NaN,NaN,1,donna,padre,amico,ignora,ricorda,madri,9.21568939650981,5.5,objrel_nounpp_______SSS
embedding_mental,le_bambine dichiarano che le_lampade davanti alla_ragazza osserva l'_attrice,feminine,plural,masculine,singular,feminine,singular,837,lampade,dichiara,osservano,N2,l'uomo,inanimate,2785,PSS,-4,NaN,NaN,3,bambine,dichiarano,lampade,ragazza,osserva,attrice,7.12689041398994,7.5,embedding_mental____PSS
objrel_that,l'_amico che lo_studente madri difende il_figlio,masculine,singular,masculine,singular,NaN,NaN,3912,madri,interrompono,difendono,V1,interrompe,verb_noun,5201,SS,-4,NaN,NaN,1,amico,studente,madri,difende,figlio,,8.49793083332176,6.2,objrel_that_________SS
objrel_nounpp,le_attrici che i_bambini vicino al_contadino bloccare ricordano le_figlie,feminine,plural,masculine,plural,masculine,singular,706,bloccare,blocca,ricorda,V1,bloccano,infinitive,1770,PPS,-7,NaN,NaN,1,attrici,bambini,contadino,bloccare,ricordano,figlie,7.1573063832342,7.66666666666667,objrel_nounpp_______PPS
objrel_nounpp,l'_attrice che le_madri dietro alla_sorella osserva interrompe gli_amici,feminine,singular,feminine,plural,feminine,singular,1080,osserva,osserva,interrompono,V1,osservano,num_violation,6769,SPS,7,NaN,NaN,1,attrice,madri,sorella,osserva,interrompe,amici,7.74902079970843,6.83333333333333,objrel_nounpp_______SPS
objrel_nounpp,le_bambine che l'_attore davanti alle_studentesse eviti ignorano le_amiche,feminine,plural,masculine,singular,feminine,plural,772,eviti,evitano,ignora,V1,evita,wrong_person,3433,PSP,-7,NaN,NaN,4,bambine,attore,studentesse,eviti,ignorano,amiche,6.52813320422292,7.16666666666667,objrel_nounpp_______PSP
objrel_nounpp,la_donna che la_figlia vicino al_ragazzo osservano difende le_madri,feminine,singular,feminine,singular,masculine,singular,1484,osservano,osservano,difendono,V1,osserva,num_violation,6941,SSS,7,NaN,NaN,4,donna,figlia,ragazzo,osservano,difende,madri,8.20416613157349,6.5,objrel_nounpp_______SSS
objrel_nounpp,gli_uomini che gli_studenti davanti al_bambino difende ricordano l'_attrice,masculine,plural,masculine,plural,masculine,singular,2735,difende,difende,ricorda,V1,difendono,num_violation,2993,PPS,7,NaN,NaN,1,uomini,studenti,bambino,difende,ricordano,attrice,8.06159877737309,7.33333333333333,objrel_nounpp_______PPS
objrel_nounpp,il_ragazzo che lo_studente vicino all'_amico ama ferma il_bambino,masculine,singular,masculine,singular,masculine,singular,304,NaN,amano,fermano,NaN,NaN,acceptable,304,SSS,0,NaN,NaN,2,ragazzo,studente,amico,ama,ferma,bambino,9.61846544291203,5.83333333333333,objrel_nounpp_______SSS
objrel_that,la_sorella che i_figli salutano ama la_ragazza,feminine,singular,masculine,plural,NaN,NaN,1853,NaN,saluta,amano,NaN,NaN,acceptable,1853,SP,0,NaN,NaN,1,sorella,figli,salutano,ama,ragazza,,8.72221767349972,6,objrel_that_________SP
objrel_nounpp,i_ragazzi che le_attrici davanti alle_studentesse criticano interrompono il_padre,masculine,plural,feminine,plural,feminine,plural,3507,NaN,critica,interrompe,NaN,NaN,acceptable,3507,PPP,0,NaN,NaN,5,ragazzi,attrici,studentesse,criticano,interrompono,padre,6.82436289199602,8.5,objrel_nounpp_______PPP
objrel_nounpp,le_sorelle che le_donne davanti al_contadino accolgono osservano l'_amico,feminine,plural,feminine,plural,masculine,singular,3967,NaN,accoglie,osserva,NaN,NaN,acceptable,3967,PPS,0,NaN,NaN,1,sorelle,donne,contadino,accolgono,osservano,amico,7.40426224457402,7.33333333333333,objrel_nounpp_______PPS
embedding_mental_SR,la_ginnastica dichiara che i_figli fermano le_studentesse,feminine,singular,masculine,plural,NaN,NaN,1598,ginnastica,dichiarano,ferma,N1,la contadina,abstract,4120,SP,-1,NaN,NaN,4,ginnastica,dichiara,figli,fermano,studentesse,,6.92900971726181,8.2,embedding_mental_SR_SP
objrel_that,la_sorella che le_ragazze salutano blocca i_figli,feminine,singular,feminine,plural,NaN,NaN,1877,NaN,saluta,bloccano,NaN,NaN,acceptable,1877,SP,0,NaN,NaN,2,sorella,ragazze,salutano,blocca,figli,,8.12942798111992,6.6,objrel_that_________SP
embedding_mental,il_padre ricorda che gli_attori davanti ai_fratelli ama la_donna,masculine,singular,masculine,plural,masculine,plural,3687,ama,ricordano,ama,V2,amano,num_violation,277,SPP,7,NaN,NaN,5,padre,ricorda,attori,fratelli,ama,donna,9.28514689008929,5.66666666666667,embedding_mental____SPP
embedding_mental_SR,l'_amica dichiara che la_ragazza contadina le_figlie,feminine,singular,feminine,singular,NaN,NaN,1271,contadina,dichiarano,osservano,V2,osserva,verb_noun,1278,SS,-5,NaN,NaN,2,amica,dichiara,ragazza,contadina,figlie,,7.78811350791566,7,embedding_mental_SR_SS
embedding_mental_SR,gli_studenti dichiarano che gli_amici fermare il_bambino,masculine,plural,masculine,plural,NaN,NaN,2552,fermare,dichiara,ferma,V2,fermano,infinitive,2268,PP,-5,NaN,NaN,3,studenti,dichiarano,amici,fermare,bambino,,8.43284643624405,7.4,embedding_mental_SR_PP
objrel_nounpp,le_amiche che la_madre dietro ai_figli incontrano guardano le_contadine,feminine,plural,feminine,singular,masculine,plural,379,incontrano,incontrano,guarda,V1,incontra,num_violation,5533,PSP,7,NaN,NaN,5,amiche,madre,figli,incontrano,guardano,contadine,7.57554044728517,7.16666666666667,objrel_nounpp_______PSP
embedding_mental,le_studentesse dichiarano che le_attrici accanto alla_figlia criticano le_donne,feminine,plural,feminine,plural,feminine,singular,3505,NaN,dichiara,critica,NaN,NaN,acceptable,3505,PPS,0,NaN,NaN,1,studentesse,dichiarano,attrici,figlia,criticano,donne,6.62796035910008,8,embedding_mental____PPS
objrel_nounpp,le_madri che la_figlia accanto alla_donna conoscono attraggono i_ragazzi,feminine,plural,feminine,singular,feminine,singular,362,conoscono,conoscono,attrae,V1,conosce,num_violation,2169,PSS,7,NaN,NaN,1,madri,figlia,donna,conoscono,attraggono,ragazzi,8.47426999636465,7,objrel_nounpp_______PSS
embedding_mental,i_ragazzi dicono che l'_amica davanti all'_uomo ferma il_padre,masculine,plural,feminine,singular,masculine,singular,2249,NaN,dice,fermano,NaN,NaN,acceptable,2249,PSS,0,NaN,NaN,5,ragazzi,dicono,amica,uomo,ferma,padre,10.2488904243773,5.33333333333333,embedding_mental____PSS
objrel_that,le_figlie che le_amiche incontrano ignorano l'_uomo,feminine,plural,feminine,plural,NaN,NaN,3764,NaN,incontra,ignora,NaN,NaN,acceptable,3764,PP,0,NaN,NaN,3,figlie,amiche,incontrano,ignorano,uomo,,7.49701067538839,6.8,objrel_that_________PP
objrel_nounpp,i_bambini che le_donne davanti alle_sorelle incontrano conoscono le_ragazze,masculine,plural,feminine,plural,feminine,plural,3251,NaN,incontra,conosce,NaN,NaN,acceptable,3251,PPP,0,NaN,NaN,1,bambini,donne,sorelle,incontrano,conoscono,ragazze,8.53497484963193,7.5,objrel_nounpp_______PPP
embedding_mental_SR,le_attrici ricordano che le_contadine blocca l'_amico,feminine,plural,feminine,plural,NaN,NaN,37,blocca,ricorda,blocca,V2,bloccano,num_violation,874,PP,5,NaN,NaN,2,attrici,ricordano,contadine,blocca,amico,,6.66965130456422,7.2,embedding_mental_SR_PP
objrel_that,la_ginnastica che le_contadine interrompono accoglie le_donne,feminine,singular,feminine,plural,NaN,NaN,1188,ginnastica,interrompe,accolgono,N1,la ragazza,abstract,4038,SP,-1,NaN,NaN,2,ginnastica,contadine,interrompono,accoglie,donne,,5.78962087206383,8.8,objrel_that_________SP
embedding_mental,le_figlie ricordano che le_contadine vicino agli_uomini difende l'_attore,feminine,plural,feminine,plural,masculine,plural,163,difende,ricorda,difende,V2,difendono,num_violation,1581,PPP,7,NaN,NaN,4,figlie,ricordano,contadine,uomini,difende,attore,6.85940756930683,7.16666666666667,embedding_mental____PPP
embedding_mental_SR,le_donne dicono che il_fratello conoscono l'_uomo,feminine,plural,masculine,singular,NaN,NaN,868,conoscono,dice,conoscono,V2,conosce,num_violation,1243,PS,5,NaN,NaN,1,donne,dicono,fratello,conoscono,uomo,,9.75656302393599,6.4,embedding_mental_SR_PS
embedding_mental,il_ragazzo dice che i_figli davanti alle_contadine ignorano il_fratello,masculine,singular,masculine,plural,feminine,plural,1648,NaN,dicono,ignora,NaN,NaN,acceptable,1648,SPP,0,NaN,NaN,1,ragazzo,dice,figli,contadine,ignorano,fratello,8.30823803687998,6.83333333333333,embedding_mental____SPP
objrel_nounpp,i_padri che i_figli davanti agli_studenti guardano interrompono le_contadine,masculine,plural,masculine,plural,masculine,plural,3435,NaN,guarda,interrompe,NaN,NaN,acceptable,3435,PPP,0,NaN,NaN,3,padri,figli,studenti,guardano,interrompono,contadine,6.61481954465113,7.83333333333333,objrel_nounpp_______PPP
embedding_mental,il_ragazzo dichiara che lo_studente vicino al_bambino blocco gli_uomini,masculine,singular,masculine,singular,masculine,singular,4006,blocco,dichiarano,bloccano,V2,blocca,wrong_person,866,SSS,-7,NaN,NaN,3,ragazzo,dichiara,studente,bambino,blocco,uomini,8.88351951431544,7,embedding_mental____SSS
objrel_nounpp,la_studentessa che le_ragazze dietro alla_contadina osservano incontra gli_amici,feminine,singular,feminine,plural,feminine,singular,1954,NaN,osserva,incontrano,NaN,NaN,acceptable,1954,SPS,0,NaN,NaN,2,studentessa,ragazze,contadina,osservano,incontra,amici,7.28218354392408,8.16666666666667,objrel_nounpp_______SPS
embedding_mental_SR,gli_uomini dichiarano che lo_studente indicano la_figlia,masculine,plural,masculine,singular,NaN,NaN,2837,indicano,dichiara,indicano,V2,indica,num_violation,3221,PS,5,NaN,NaN,5,uomini,dichiarano,studente,indicano,figlia,,8.01865039816253,7.6,embedding_mental_SR_PS
objrel_nounpp,le_ragazze che il_figlio vicino alle_bambine difendere interrompono i_fratelli,feminine,plural,masculine,singular,feminine,plural,803,difendere,difendono,interrompe,V1,difende,infinitive,2936,PSP,-7,NaN,NaN,3,ragazze,figlio,bambine,difendere,interrompono,fratelli,8.03242980724563,8.16666666666667,objrel_nounpp_______PSP
objrel_nounpp,i_piaceri che i_figli davanti alle_bambine indicano interrompono l'_uomo,masculine,plural,masculine,plural,feminine,plural,2571,piaceri,indica,interrompe,N1,ipadri,abstract,7963,PPP,-1,NaN,NaN,5,piaceri,figli,bambine,indicano,interrompono,uomo,7.56541302339591,7.16666666666667,objrel_nounpp_______PPP
objrel_that,la_donna che le_amiche ricordano ferma gli_attori,feminine,singular,feminine,plural,NaN,NaN,1653,NaN,ricorda,fermano,NaN,NaN,acceptable,1653,SP,0,NaN,NaN,5,donna,amiche,ricordano,ferma,attori,,8.26512450806952,6.2,objrel_that_________SP
objrel_nounpp,l'_attore che gli_studenti accanto al_bambino criticano ignorano le_contadine,masculine,singular,masculine,plural,masculine,singular,3759,ignorano,critica,ignorano,V2,ignora,num_violation,5096,SPS,8,NaN,NaN,2,attore,studenti,bambino,criticano,ignorano,contadine,6.33525057934981,7.83333333333333,objrel_nounpp_______SPS
objrel_that,gli_amici che la_contadina ricordano salutano lo_studente,masculine,plural,feminine,singular,NaN,NaN,2262,ricordano,ricordano,saluta,V1,ricorda,num_violation,7490,PS,4,NaN,NaN,4,amici,contadina,ricordano,salutano,studente,,6.78776989690688,7.8,objrel_that_________PS
embedding_mental,i_figli ricordano che le_contadine accanto all'_attore interrompono la_donna,masculine,plural,feminine,plural,masculine,singular,3200,NaN,ricorda,interrompe,NaN,NaN,acceptable,3200,PPS,0,NaN,NaN,4,figli,ricordano,contadine,attore,interrompono,donna,7.01672353047005,7.66666666666667,embedding_mental____PPS
objrel_that,i_contadini che l'_amica evita ignora l'_attrice,masculine,plural,feminine,singular,NaN,NaN,2371,ignora,evitano,ignora,V2,ignorano,num_violation,4766,PS,5,NaN,NaN,1,contadini,amica,evita,ignora,attrice,,7.15986477957806,6.4,objrel_that_________PS
objrel_nounpp,l'_uomo che la_contadina dietro alla_madre ferma interrompono gli_studenti,masculine,singular,feminine,singular,feminine,singular,3391,interrompono,fermano,interrompono,V2,interrompe,num_violation,6407,SSS,8,NaN,NaN,4,uomo,contadina,madre,ferma,interrompono,studenti,8.03085747603919,7.16666666666667,objrel_nounpp_______SSS
objrel_nounpp,lo_studente che il_fratello davanti alle_bambine attraggono indica l'_amica,masculine,singular,masculine,singular,feminine,plural,3836,attraggono,attraggono,indicano,V1,attrae,num_violation,1209,SSP,7,NaN,NaN,1,studente,fratello,bambine,attraggono,indica,amica,7.8179685202031,7.33333333333333,objrel_nounpp_______SSP
embedding_mental,la_studentessa dice che il_bambino dietro alla_sorella incontra l'_attore,feminine,singular,masculine,singular,feminine,singular,451,NaN,dicono,incontrano,NaN,NaN,acceptable,451,SSS,0,NaN,NaN,1,studentessa,dice,bambino,sorella,incontra,attore,8.71824139684896,7.16666666666667,embedding_mental____SSS
embedding_mental,il_fratello ricorda che la_madre davanti all'_amica criticano i_figli,masculine,singular,feminine,singular,feminine,singular,3355,criticano,ricordano,criticano,V2,critica,num_violation,1388,SSS,7,NaN,NaN,3,fratello,ricorda,madre,amica,criticano,figli,8.8962929090976,6.5,embedding_mental____SSS
objrel_that,i_bambini che gli_attori bloccano ignorano gli_amici,masculine,plural,masculine,plural,NaN,NaN,3196,NaN,blocca,ignora,NaN,NaN,acceptable,3196,PP,0,NaN,NaN,4,bambini,attori,bloccano,ignorano,amici,,7.46712084281829,6.8,objrel_that_________PP
objrel_nounpp,i_fratelli che i_figli accanto alle_attrici conosce accolgono le_bambine,masculine,plural,masculine,plural,feminine,plural,2566,conosce,conosce,accoglie,V1,conoscono,num_violation,1998,PPP,7,NaN,NaN,4,fratelli,figli,attrici,conosce,accolgono,bambine,7.39434451125184,7.16666666666667,objrel_nounpp_______PPP
objrel_nounpp,le_contadine che i_bambini dietro alle_figlie critica attraggono l'_amico,feminine,plural,masculine,plural,feminine,plural,527,critica,critica,attrae,V1,criticano,num_violation,2460,PPP,7,NaN,NaN,2,contadine,bambini,figlie,critica,attraggono,amico,7.25446250951419,7.33333333333333,objrel_nounpp_______PPP
objrel_that,le_studentesse che i_padri accolgono evitare gli_amici,feminine,plural,masculine,plural,NaN,NaN,739,evitare,accoglie,evita,V2,evitano,infinitive,3518,PP,-5,NaN,NaN,3,studentesse,padri,accolgono,evitare,amici,,7.04468556457523,7.4,objrel_that_________PP
objrel_nounpp,lo_studente che la_donna davanti al_ragazzo sogni guarda i_padri,masculine,singular,feminine,singular,masculine,singular,3525,sogni,salutano,guardano,V1,saluta,wrong_person,7756,SSS,-7,NaN,NaN,3,studente,donna,ragazzo,sogni,guarda,padri,9.31397650465419,6,objrel_nounpp_______SSS
objrel_nounpp,i_fratelli che il_figlio davanti all'_attore accoglie interrompere le_donne,masculine,plural,masculine,singular,masculine,singular,3004,interrompere,accolgono,interrompe,V2,interrompono,infinitive,6151,PSS,-8,NaN,NaN,5,fratelli,figlio,attore,accoglie,interrompere,donne,8.16497242548781,7.5,objrel_nounpp_______PSS
objrel_nounpp,la_sorella che gli_uomini vicino allo_studente difendono ferma il_figlio,feminine,singular,masculine,plural,masculine,singular,1866,NaN,difende,fermano,NaN,NaN,acceptable,1866,SPS,0,NaN,NaN,4,sorella,uomini,studente,difendono,ferma,figlio,8.71045596237273,6.83333333333333,objrel_nounpp_______SPS
objrel_nounpp,la_ragazza che il_bambino davanti ai_contadini attrae ferma il_fratello,feminine,singular,masculine,singular,masculine,plural,791,NaN,attraggono,fermano,NaN,NaN,acceptable,791,SSP,0,NaN,NaN,5,ragazza,bambino,contadini,attrae,ferma,fratello,8.72805139742228,7,objrel_nounpp_______SSP
objrel_nounpp,le_contadine che la_madre accanto agli_attori ama bloccano le_ragazze,feminine,plural,feminine,singular,masculine,plural,2699,NaN,amano,blocca,NaN,NaN,acceptable,2699,PSP,0,NaN,NaN,2,contadine,madre,attori,ama,bloccano,ragazze,7.55951433722068,6.33333333333333,objrel_nounpp_______PSP
objrel_nounpp,la_studentessa che l'_amico dietro ai_contadini blocca ignorano le_bambine,feminine,singular,masculine,singular,masculine,plural,1951,ignorano,bloccano,ignorano,V2,ignora,num_violation,4896,SSP,8,NaN,NaN,3,studentessa,amico,contadini,blocca,ignorano,bambine,7.29808827906849,7.66666666666667,objrel_nounpp_______SSP
objrel_nounpp,il_contadino che il_bambino accanto ai_figli critica ignorano gli_studenti,masculine,singular,masculine,singular,masculine,plural,3917,ignorano,criticano,ignorano,V2,ignora,num_violation,4902,SSP,8,NaN,NaN,1,contadino,bambino,figli,critica,ignorano,studenti,7.68887903120185,7.33333333333333,objrel_nounpp_______SSP
objrel_that,la_bambina che le_studentesse salutano osservano i_fratelli,feminine,singular,feminine,plural,NaN,NaN,1077,osservano,saluta,osservano,V2,osserva,num_violation,7073,SP,5,NaN,NaN,2,bambina,studentesse,salutano,osservano,fratelli,,6.6475358907829,8.6,objrel_that_________SP
objrel_nounpp,le_figlie che il_ragazzo dietro alla_contadina difende ferma i_bambini,feminine,plural,masculine,singular,feminine,singular,866,ferma,difendono,ferma,V2,fermano,num_violation,3768,PSS,8,NaN,NaN,2,figlie,ragazzo,contadina,difende,ferma,bambini,7.94094779938837,6.83333333333333,objrel_nounpp_______PSS
objrel_nounpp,gli_attori che il_contadino davanti al_bambino guarda incontrate il_fratello,masculine,plural,masculine,singular,masculine,singular,2966,incontrate,guardano,incontra,V2,incontrano,wrong_person,5154,PSS,-8,NaN,NaN,1,attori,contadino,bambino,guarda,incontrate,fratello,8.529977607373,7.66666666666667,objrel_nounpp_______PSS
objrel_that,gli_uomini che gli_amici_fratelli incontrano le_sorelle,masculine,plural,masculine,plural,NaN,NaN,2579,fratelli,blocca,incontra,V1,bloccano,verb_noun,4617,PP,-4,NaN,NaN,5,uomini,amici,fratelli,incontrano,sorelle,,8.63729306143794,7.2,objrel_that_________PP
objrel_nounpp,le_amiche che l'_uomo accanto alla_contadina evita criticare le_madri,feminine,plural,masculine,singular,feminine,singular,828,criticare,evitano,critica,V2,criticano,infinitive,2487,PSS,-8,NaN,NaN,2,amiche,uomo,contadina,evita,criticare,madri,7.22174245066085,6.33333333333333,objrel_nounpp_______PSS
objrel_nounpp,la_bambina che gli_uomini vicino alle_ragazze bloccano conosce gli_amici,feminine,singular,masculine,plural,feminine,plural,1566,NaN,blocca,conoscono,NaN,NaN,acceptable,1566,SPP,0,NaN,NaN,2,bambina,uomini,ragazze,bloccano,conosce,amici,9.04469606452161,6.66666666666667,objrel_nounpp_______SPP
objrel_that,la_donna che i_padri criticano fermano le_contadine,feminine,singular,masculine,plural,NaN,NaN,1612,fermano,critica,fermano,V2,ferma,num_violation,4222,SP,5,NaN,NaN,1,donna,padri,criticano,fermano,contadine,,6.18852753075239,7,objrel_that_________SP
embedding_mental,la_bambina dichiara che l'_uomo vicino alle_amiche attraggono i_fratelli,feminine,singular,masculine,singular,feminine,plural,1782,attraggono,dichiarano,attraggono,V2,attrae,num_violation,597,SSP,7,NaN,NaN,5,bambina,dichiara,uomo,amiche,attraggono,fratelli,8.07476250200708,7.16666666666667,embedding_mental____SSP
objrel_that,l'_attrice che la_ragazza interrompono saluta il_figlio,feminine,singular,feminine,singular,NaN,NaN,1294,interrompono,interrompono,salutano,V1,interrompe,num_violation,6464,SS,4,NaN,NaN,1,attrice,ragazza,interrompono,saluta,figlio,,8.04759394450588,7.6,objrel_that_________SS
objrel_nounpp,la_contadina che il_ragazzo vicino alla_studentessa criticano ignora le_madri,feminine,singular,masculine,singular,feminine,singular,1851,criticano,criticano,ignorano,V1,critica,num_violation,2599,SSS,7,NaN,NaN,5,contadina,ragazzo,studentessa,criticano,ignora,madri,6.50555422974775,7.83333333333333,objrel_nounpp_______SSS
objrel_that,le_figlie che l'_amico blocca conosciamo la_donna,feminine,plural,masculine,singular,NaN,NaN,887,conosciamo,bloccano,evita,V2,evitano,wrong_person,2163,PS,-5,NaN,NaN,1,figlie,amico,blocca,conosciamo,donna,,8.86494648828002,6.4,objrel_that_________PS
objrel_nounpp,le_sorelle che l'_attore davanti alle_bambine blocca ricordiamo l'_amico,feminine,plural,masculine,singular,feminine,plural,809,ricordiamo,bloccano,ricorda,V2,ricordano,wrong_person,7340,PSP,-8,NaN,NaN,2,sorelle,attore,bambine,blocca,ricordiamo,amico,7.78958848068494,6.83333333333333,objrel_nounpp_______PSP
embedding_mental,le_bambine dicono che i_contadini accanto all'_amico accolgono le_figlie,feminine,plural,masculine,plural,masculine,singular,3327,NaN,dice,accoglie,NaN,NaN,acceptable,3327,PPS,0,NaN,NaN,2,bambine,dicono,contadini,amico,accolgono,figlie,7.73721452993558,7,embedding_mental____PPS
objrel_nounpp,la_figlia che la_studentessa vicino alle_contadine attrae ignorano il_bambino,feminine,singular,feminine,singular,feminine,plural,1298,ignorano,attraggono,ignorano,V2,ignora,num_violation,4890,SSP,8,NaN,NaN,5,figlia,studentessa,contadine,attrae,ignorano,bambino,6.79956395901711,7.83333333333333,objrel_nounpp_______SSP
